rh.aparc.volume,rh_bankssts_volume,rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,rh_cuneus_volume,rh_entorhinal_volume,rh_fusiform_volume,rh_inferiorparietal_volume,rh_inferiortemporal_volume,rh_isthmuscingulate_volume,rh_lateraloccipital_volume,rh_lateralorbitofrontal_volume,rh_lingual_volume,rh_medialorbitofrontal_volume,rh_middletemporal_volume,rh_parahippocampal_volume,rh_paracentral_volume,rh_parsopercularis_volume,rh_parsorbitalis_volume,rh_parstriangularis_volume,rh_pericalcarine_volume,rh_postcentral_volume,rh_posteriorcingulate_volume,rh_precentral_volume,rh_precuneus_volume,rh_rostralanteriorcingulate_volume,rh_rostralmiddlefrontal_volume,rh_superiorfrontal_volume,rh_superiorparietal_volume,rh_superiortemporal_volume,rh_supramarginal_volume,rh_frontalpole_volume,rh_temporalpole_volume,rh_transversetemporal_volume,rh_insula_volume,BrainSegVolNotVent,eTIV
28687,2964.0,1721.0,6305.0,3671.0,963.0,8797.0,15844.0,7195.0,2747.0,14517.0,9079.0,9789.0,6081.0,12170.0,1922.0,4260.0,4183.0,3523.0,4082.0,3043.0,8690.0,3334.0,13659.0,12295.0,2030.0,18864.0,23399.0,13633.0,13669.0,9311.0,1670.0,902.0,910.0,7214.0,1181876.0,1559027.632364
28688,2836.0,1979.0,8141.0,3803.0,2106.0,9809.0,14467.0,14365.0,3235.0,11320.0,10177.0,7518.0,5440.0,15606.0,1946.0,4947.0,5463.0,3058.0,5051.0,2330.0,11787.0,3404.0,16181.0,12627.0,2052.0,19426.0,30384.0,15390.0,15259.0,14675.0,1177.0,2723.0,1265.0,8681.0,1334612.0,1706529.901474
28690,3495.0,3333.0,6905.0,3547.0,525.0,10244.0,19726.0,9553.0,3241.0,12568.0,7930.0,7726.0,5433.0,12833.0,2370.0,3341.0,5012.0,3042.0,5289.0,2718.0,10813.0,3705.0,14751.0,10868.0,2282.0,18357.0,21937.0,13887.0,15425.0,12248.0,1821.0,1219.0,1244.0,7528.0,1240485.0,1612319.450459
28691,3253.0,2573.0,4810.0,4385.0,906.0,8815.0,20364.0,12008.0,2449.0,12320.0,10493.0,9512.0,5771.0,12412.0,2073.0,3279.0,3379.0,3579.0,4595.0,2788.0,9511.0,3694.0,12134.0,10366.0,1701.0,22023.0,20448.0,12724.0,14228.0,10120.0,1435.0,1700.0,1037.0,7630.0,1195487.0,1623488.210408
28692,1846.0,2506.0,6566.0,4121.0,1351.0,10503.0,18456.0,10140.0,2646.0,13137.0,8971.0,9025.0,7189.0,12391.0,1731.0,2544.0,5582.0,4004.0,5375.0,2966.0,7375.0,3564.0,10365.0,7468.0,2477.0,20684.0,24015.0,15078.0,15960.0,6836.0,1688.0,2990.0,723.0,7827.0,1151732.0,1510541.372515
28693,759.0,1630.0,5179.0,3813.0,1510.0,6479.0,6876.0,7877.0,2940.0,8501.0,5428.0,6089.0,5485.0,6852.0,1342.0,3355.0,4873.0,3207.0,3704.0,2597.0,9168.0,1842.0,10779.0,7683.0,1744.0,13047.0,18428.0,10717.0,10053.0,6900.0,1699.0,2881.0,1129.0,5399.0,920658.0,1373065.167184
28694,2199.0,1635.0,7642.0,4164.0,930.0,9484.0,15259.0,11141.0,2865.0,12632.0,9254.0,8291.0,4934.0,14622.0,2377.0,4330.0,5621.0,2768.0,5881.0,2752.0,9907.0,3678.0,14092.0,12736.0,2033.0,17860.0,25754.0,15635.0,14872.0,9229.0,1756.0,2536.0,1157.0,8421.0,1195332.0,1641979.967402
28695,2074.0,2505.0,5800.0,3036.0,1413.0,10750.0,11076.0,10524.0,2957.0,8888.0,7633.0,6971.0,5157.0,11570.0,1779.0,4548.0,3588.0,2986.0,6262.0,2109.0,8668.0,3546.0,13468.0,12244.0,2304.0,17144.0,24513.0,9828.0,16221.0,9786.0,1082.0,2714.0,1256.0,7362.0,1197988.0,1569602.799874
28696,1654.0,2505.0,8116.0,3806.0,1266.0,7924.0,12439.0,8227.0,2893.0,13858.0,6494.0,7044.0,4360.0,9146.0,2108.0,3931.0,4038.0,2797.0,4974.0,2372.0,9950.0,2994.0,13108.0,11010.0,1912.0,18284.0,22346.0,13465.0,10722.0,7201.0,1411.0,484.0,1095.0,5709.0,1116165.0,1464651.774344
28697,2884.0,1832.0,7096.0,4243.0,969.0,9388.0,19183.0,10317.0,2663.0,13346.0,9283.0,7614.0,5593.0,11845.0,1221.0,3544.0,4121.0,3342.0,5270.0,2351.0,9162.0,2795.0,14316.0,12194.0,1754.0,19779.0,24293.0,17404.0,13058.0,10262.0,1808.0,2892.0,732.0,6775.0,1203425.0,1064500.287294
28698,2317.0,2477.0,4768.0,3639.0,1282.0,8597.0,11320.0,10714.0,3491.0,10505.0,10017.0,7515.0,5802.0,12219.0,1837.0,4332.0,4213.0,3523.0,3830.0,2298.0,8964.0,3474.0,15099.0,11619.0,2352.0,16757.0,21393.0,12302.0,12736.0,6745.0,1109.0,2050.0,907.0,7223.0,1214472.0,1741833.129001
28699,3042.0,2767.0,7313.0,3685.0,1103.0,9121.0,15453.0,13084.0,2892.0,10321.0,9020.0,7228.0,5986.0,14470.0,1818.0,4336.0,3636.0,2958.0,4497.0,2600.0,11741.0,3724.0,13450.0,11566.0,2217.0,19692.0,23072.0,13187.0,12528.0,8021.0,1498.0,1706.0,889.0,7252.0,1185186.0,1528514.529953
28700,2905.0,1455.0,6152.0,3364.0,1221.0,7618.0,15343.0,7960.0,2208.0,10722.0,7850.0,7409.0,4806.0,11960.0,2027.0,3579.0,3438.0,2680.0,3751.0,2035.0,7896.0,2548.0,12890.0,9572.0,1985.0,14247.0,19144.0,13664.0,12541.0,8869.0,943.0,2545.0,775.0,5884.0,981788.0,1235123.465615
28701,3288.0,3110.0,9840.0,4539.0,2269.0,10526.0,18300.0,16199.0,2951.0,10678.0,9850.0,8418.0,5862.0,13964.0,1828.0,4814.0,4926.0,3834.0,5517.0,2843.0,13588.0,4047.0,17840.0,13055.0,2080.0,22829.0,21613.0,14390.0,13906.0,12113.0,1729.0,3387.0,1057.0,6957.0,1303898.0,1757915.923551
28702,3010.0,2085.0,3872.0,1883.0,1277.0,7893.0,15641.0,7875.0,2972.0,10922.0,6744.0,8014.0,5249.0,11727.0,1839.0,4047.0,4957.0,2718.0,7793.0,2306.0,8510.0,3411.0,10545.0,11575.0,1687.0,23944.0,24839.0,12042.0,12026.0,7386.0,1574.0,934.0,770.0,6042.0,1111560.0,2167270.02255
28703,2095.0,1437.0,6021.0,3637.0,801.0,6910.0,9874.0,9404.0,2635.0,9129.0,7642.0,6478.0,5152.0,9105.0,1664.0,3664.0,3523.0,2810.0,4417.0,2351.0,8704.0,2584.0,13429.0,9798.0,1347.0,15572.0,20787.0,10490.0,11198.0,6021.0,802.0,1959.0,947.0,5278.0,990039.0,1330419.795296
28704,2692.0,1846.0,6839.0,2910.0,1191.0,8747.0,14889.0,8434.0,2973.0,12918.0,7140.0,7495.0,6648.0,11016.0,1964.0,3549.0,4428.0,2833.0,4827.0,2066.0,9748.0,2869.0,13145.0,12952.0,1790.0,17666.0,21827.0,15039.0,12085.0,11768.0,1849.0,1774.0,941.0,6776.0,1102515.0,1370500.178375
28705,2684.0,2039.0,7864.0,4331.0,1640.0,9625.0,14895.0,9796.0,2373.0,15378.0,8418.0,8362.0,6269.0,13306.0,1948.0,4429.0,4048.0,3740.0,5316.0,3059.0,10025.0,4208.0,15956.0,13046.0,2839.0,23324.0,27720.0,17873.0,15510.0,13779.0,1384.0,1909.0,939.0,7874.0,1258343.0,1561910.774638
28706,3122.0,1768.0,5753.0,3505.0,745.0,8592.0,15686.0,9293.0,2095.0,9953.0,6550.0,8270.0,3875.0,11168.0,1635.0,4118.0,3392.0,2228.0,3918.0,2921.0,7699.0,2588.0,12067.0,9965.0,948.0,14052.0,19381.0,10987.0,10823.0,8667.0,1244.0,1821.0,911.0,6210.0,1033841.0,919566.184897
28707,2748.0,1720.0,7814.0,4040.0,1557.0,8156.0,15031.0,10303.0,3071.0,12435.0,8250.0,9205.0,4731.0,12716.0,2655.0,4013.0,5077.0,3721.0,5123.0,2707.0,10008.0,2948.0,14477.0,11787.0,1378.0,15109.0,23494.0,16501.0,13245.0,11209.0,2119.0,2229.0,871.0,5761.0,1086677.0,1383716.812345
28708,2201.0,2623.0,5844.0,3295.0,1066.0,6912.0,14301.0,7275.0,2221.0,12005.0,6692.0,6896.0,4953.0,8694.0,1577.0,3596.0,3909.0,2682.0,4821.0,2103.0,8358.0,3304.0,12958.0,8490.0,1769.0,17253.0,19764.0,11753.0,9162.0,7971.0,1169.0,1141.0,941.0,5913.0,973026.0,1092590.76653
28709,2644.0,1443.0,8940.0,3515.0,713.0,8746.0,15509.0,10141.0,2963.0,14922.0,8463.0,5279.0,5822.0,10738.0,1467.0,3928.0,4964.0,3292.0,6358.0,2586.0,10219.0,2796.0,14862.0,11168.0,1613.0,19822.0,27831.0,15943.0,10770.0,12907.0,1863.0,450.0,1073.0,4487.0,1122881.0,1556609.581396
28710,1872.0,1737.0,4064.0,3282.0,1600.0,7864.0,15211.0,9156.0,2522.0,10793.0,7034.0,7262.0,4994.0,10590.0,1686.0,3712.0,4782.0,2896.0,7281.0,2591.0,7882.0,3192.0,9053.0,7784.0,1447.0,23711.0,24040.0,10199.0,11250.0,6594.0,1186.0,1654.0,866.0,5476.0,998542.0,1926356.603642
28711,2380.0,2086.0,4772.0,1912.0,909.0,7143.0,9730.0,8086.0,1039.0,4709.0,6077.0,4532.0,3538.0,10034.0,1260.0,4305.0,3849.0,2614.0,3440.0,1567.0,9003.0,2325.0,10354.0,5818.0,1144.0,14242.0,19353.0,9085.0,10454.0,13152.0,1152.0,1367.0,730.0,5167.0,914916.0,1264334.982976
28713,2575.0,1922.0,8561.0,3670.0,1466.0,9300.0,15980.0,13879.0,3059.0,12471.0,9801.0,6575.0,5763.0,12031.0,1642.0,4174.0,5366.0,2335.0,6250.0,2297.0,10911.0,3414.0,12966.0,9495.0,2257.0,17971.0,24777.0,16058.0,10905.0,10142.0,997.0,2724.0,955.0,6362.0,1156106.0,1468385.932236
28714,2207.0,1445.0,6508.0,3461.0,1014.0,5649.0,12668.0,5225.0,2080.0,8747.0,6683.0,7869.0,4207.0,7296.0,1202.0,3617.0,4208.0,2596.0,4195.0,3091.0,8094.0,3072.0,11739.0,8723.0,1033.0,17966.0,24350.0,10133.0,10577.0,9779.0,983.0,1454.0,1206.0,5862.0,943799.0,1212943.827363
28715,3104.0,2296.0,6437.0,3391.0,1074.0,7119.0,14795.0,9231.0,2671.0,11635.0,8076.0,7740.0,5473.0,13054.0,1652.0,3261.0,4173.0,2981.0,5596.0,2393.0,8337.0,3369.0,12462.0,10762.0,2638.0,17180.0,18497.0,13257.0,12557.0,9161.0,1246.0,1773.0,1083.0,7109.0,1038258.0,1386272.993019
28716,2242.0,1689.0,5936.0,3747.0,539.0,6055.0,13001.0,7230.0,2341.0,10492.0,6517.0,7979.0,4039.0,9416.0,1512.0,3869.0,3179.0,2909.0,4701.0,2733.0,6863.0,3232.0,12012.0,9989.0,1323.0,17680.0,22184.0,13919.0,12361.0,9117.0,1313.0,725.0,879.0,5215.0,949433.0,1217048.918378
28717,2521.0,1587.0,6601.0,3543.0,630.0,7503.0,17521.0,8755.0,2666.0,12990.0,7577.0,8174.0,5967.0,13303.0,2148.0,3136.0,4152.0,2651.0,5523.0,2346.0,10178.0,3118.0,12865.0,9041.0,1636.0,16318.0,23553.0,12700.0,11384.0,9927.0,1696.0,1227.0,1016.0,6995.0,1096903.0,1464332.463478
28718,2310.0,1726.0,6522.0,3373.0,796.0,8964.0,13640.0,9676.0,2846.0,13497.0,8361.0,8104.0,5726.0,12199.0,1575.0,3972.0,4503.0,2260.0,3544.0,2500.0,8553.0,3244.0,12917.0,11921.0,1711.0,18275.0,25829.0,16122.0,13422.0,8171.0,1022.0,1854.0,1050.0,7053.0,1112617.0,1491374.402614
28719,2136.0,2171.0,9220.0,3609.0,1326.0,6486.0,15675.0,8357.0,2780.0,12184.0,8664.0,7607.0,5033.0,11641.0,1932.0,3576.0,5185.0,2483.0,4476.0,3197.0,10922.0,3203.0,13519.0,11083.0,1677.0,18177.0,25941.0,14015.0,11569.0,9986.0,887.0,2007.0,1067.0,6821.0,1018825.0,1339549.54036
28720,3657.0,2324.0,6582.0,4952.0,1633.0,9124.0,17657.0,10658.0,2986.0,14729.0,9058.0,9889.0,5183.0,14030.0,2223.0,3717.0,4704.0,3231.0,6034.0,3281.0,9297.0,3477.0,15331.0,10701.0,1907.0,21485.0,24868.0,11754.0,15766.0,10526.0,1472.0,1509.0,1126.0,7420.0,1317149.0,1762918.793083
28721,2782.0,2639.0,10983.0,3212.0,399.0,7815.0,16697.0,9702.0,1616.0,19576.0,8600.0,5830.0,5690.0,13443.0,371.0,3427.0,5189.0,3093.0,4853.0,3413.0,10126.0,2629.0,14886.0,5465.0,2158.0,15195.0,27184.0,12284.0,11477.0,10661.0,1096.0,502.0,1118.0,6380.0,1110569.0,1358255.867557
28722,3110.0,2874.0,6262.0,3348.0,885.0,9472.0,14778.0,9490.0,2477.0,10871.0,7737.0,6202.0,4448.0,11660.0,1633.0,3903.0,3998.0,2625.0,4088.0,1945.0,8857.0,4562.0,14312.0,10109.0,1938.0,14656.0,23947.0,11556.0,12630.0,10524.0,1227.0,2261.0,918.0,6130.0,1054824.0,1270989.211492
28723,2010.0,2623.0,8825.0,3732.0,1729.0,10863.0,5347.0,11423.0,3693.0,11371.0,7408.0,10010.0,5363.0,12328.0,2201.0,3838.0,5056.0,3191.0,5286.0,2895.0,10030.0,4186.0,13847.0,11271.0,1986.0,15372.0,21949.0,11586.0,11739.0,7630.0,1297.0,2830.0,794.0,7744.0,1168186.0,1563481.763916
28724,1991.0,2179.0,6400.0,4518.0,1189.0,7304.0,12829.0,7389.0,2725.0,11554.0,6463.0,7120.0,4895.0,8765.0,1681.0,3425.0,3710.0,2218.0,4017.0,3043.0,6552.0,3259.0,11811.0,10588.0,2055.0,16449.0,20155.0,14156.0,10264.0,5343.0,1092.0,2243.0,1014.0,4642.0,1039695.0,1998187.848742
28725,3461.0,2505.0,7114.0,4231.0,546.0,6662.0,16417.0,9995.0,2225.0,13374.0,7332.0,5718.0,4839.0,13251.0,1753.0,4533.0,3364.0,3147.0,6199.0,2654.0,10613.0,3651.0,16412.0,11205.0,2018.0,18626.0,25523.0,16703.0,15293.0,13997.0,1528.0,801.0,972.0,8148.0,1224678.0,1607537.113805
28726,2537.0,2640.0,5795.0,3785.0,987.0,9460.0,21476.0,11489.0,2768.0,16224.0,10657.0,12988.0,5148.0,12937.0,1758.0,3697.0,5676.0,3130.0,5931.0,2900.0,9073.0,3155.0,13291.0,9609.0,2485.0,18680.0,22686.0,13949.0,13556.0,9325.0,1646.0,2894.0,885.0,6917.0,1284277.0,1646834.814081
28727,2362.0,1595.0,5507.0,3804.0,1194.0,9088.0,17233.0,9155.0,2257.0,14129.0,8424.0,6144.0,4688.0,11270.0,1872.0,4032.0,4233.0,2610.0,4388.0,2384.0,7671.0,3417.0,12952.0,9996.0,1714.0,18224.0,23705.0,16840.0,12906.0,8264.0,1296.0,1262.0,943.0,6565.0,1129367.0,901536.68097
28728,1902.0,1583.0,8985.0,4069.0,511.0,8416.0,15373.0,11339.0,2710.0,9003.0,7271.0,8468.0,5305.0,6161.0,1661.0,5014.0,4856.0,2932.0,4247.0,3255.0,12261.0,2854.0,16225.0,10391.0,1538.0,15580.0,29497.0,14459.0,10642.0,9279.0,1380.0,673.0,1051.0,7239.0,1190741.0,1589060.132082
28729,2554.0,2510.0,6098.0,4405.0,991.0,8585.0,15767.0,11556.0,2597.0,12994.0,8608.0,6618.0,6090.0,12047.0,1757.0,3341.0,5763.0,3244.0,6063.0,2816.0,7340.0,2861.0,8716.0,9046.0,2185.0,23136.0,27838.0,11629.0,13497.0,5929.0,1491.0,2311.0,849.0,6717.0,1147380.0,1511609.978913
28730,2842.0,2529.0,7967.0,3919.0,617.0,11010.0,22123.0,11602.0,2524.0,13850.0,8448.0,7952.0,5163.0,15005.0,1982.0,3687.0,4308.0,3740.0,4745.0,2936.0,10896.0,3465.0,14474.0,10482.0,2453.0,21575.0,27267.0,13955.0,13330.0,12561.0,1338.0,1332.0,1012.0,8249.0,1267702.0,1672365.000754
28731,2456.0,2175.0,5446.0,3562.0,975.0,7947.0,15049.0,9567.0,2480.0,10334.0,7548.0,7608.0,5625.0,11629.0,1621.0,3979.0,4166.0,2410.0,4040.0,2623.0,9178.0,2772.0,12290.0,9352.0,2145.0,15747.0,19530.0,12254.0,12416.0,8085.0,1134.0,2372.0,1033.0,5854.0,1096863.0,1156222.270617
28732,1780.0,2597.0,6866.0,4343.0,2030.0,8303.0,17195.0,10128.0,3007.0,11421.0,9029.0,7966.0,6393.0,8685.0,1204.0,4014.0,3817.0,2488.0,4495.0,3024.0,8959.0,2970.0,13325.0,9937.0,2304.0,17815.0,26359.0,15676.0,11902.0,10067.0,1156.0,2257.0,854.0,7103.0,1114653.0,1457390.638739
28733,2939.0,2025.0,5207.0,4548.0,1057.0,8170.0,17160.0,10060.0,2795.0,12691.0,9630.0,9206.0,6159.0,12695.0,1946.0,4026.0,5260.0,3287.0,5380.0,3420.0,9088.0,2835.0,11929.0,11902.0,2184.0,15575.0,19594.0,14538.0,14863.0,10710.0,1638.0,2625.0,1029.0,4207.0,1085977.0,1449553.722033
28741,2988.0,2045.0,7605.0,3659.0,1597.0,11211.0,20465.0,11398.0,3557.0,13582.0,9356.0,9076.0,7250.0,17278.0,2127.0,4313.0,4827.0,3990.0,6202.0,2579.0,11261.0,3583.0,15289.0,11842.0,2539.0,24661.0,25962.0,13353.0,14761.0,11752.0,1525.0,3080.0,954.0,7347.0,1199503.0,1452249.087469
28742,2217.0,2086.0,6541.0,3895.0,1977.0,10469.0,16273.0,13033.0,2413.0,15224.0,7707.0,7979.0,5823.0,13032.0,1911.0,5152.0,3734.0,3098.0,4865.0,2592.0,11446.0,3658.0,14359.0,12621.0,1663.0,16523.0,25590.0,15196.0,12279.0,11595.0,1290.0,2427.0,1081.0,7136.0,1158439.0,1304007.288223
28743,2882.0,2636.0,7012.0,3632.0,1524.0,10102.0,19380.0,10572.0,2075.0,13405.0,7989.0,6341.0,6794.0,14306.0,1721.0,3772.0,4518.0,3275.0,6213.0,2422.0,9737.0,3329.0,14732.0,9946.0,1919.0,19267.0,23091.0,14134.0,13677.0,9348.0,1476.0,3137.0,889.0,6840.0,1106072.0,1389302.893771
28744,2419.0,2093.0,9585.0,4847.0,1475.0,11680.0,19274.0,13678.0,3093.0,13819.0,9166.0,9361.0,7322.0,15709.0,2463.0,4325.0,5042.0,3191.0,3468.0,3254.0,13009.0,3924.0,18665.0,13861.0,3220.0,20989.0,29439.0,14367.0,15343.0,14421.0,1624.0,2599.0,1282.0,6578.0,1282591.0,1613277.32763
28745,2692.0,1834.0,6910.0,3870.0,1252.0,10032.0,17200.0,12498.0,3052.0,13930.0,8144.0,8715.0,5957.0,15096.0,2235.0,4769.0,4404.0,3506.0,6015.0,2620.0,9328.0,3535.0,15248.0,9260.0,1431.0,20018.0,26448.0,12980.0,14533.0,11346.0,1091.0,2735.0,1395.0,8266.0,1166317.0,1503209.271319
28746,2594.0,3180.0,6440.0,3696.0,1366.0,11335.0,19769.0,12626.0,3370.0,14974.0,10590.0,7210.0,5700.0,16990.0,2542.0,5464.0,3477.0,4984.0,5202.0,2555.0,14097.0,5132.0,16801.0,14326.0,2480.0,21593.0,26003.0,17509.0,18263.0,14544.0,1317.0,2846.0,1192.0,6949.0,1253796.0,1551854.856737
28747,3609.0,2580.0,5363.0,3105.0,2189.0,10522.0,17363.0,12748.0,2646.0,11918.0,9614.0,7491.0,7581.0,15630.0,2043.0,3919.0,4166.0,3929.0,6632.0,2075.0,8556.0,3581.0,11391.0,8571.0,2121.0,26548.0,29627.0,10220.0,15617.0,10835.0,1699.0,2695.0,1120.0,7743.0,1162533.0,1506980.277952
28748,2310.0,3383.0,6226.0,3994.0,1803.0,11683.0,19162.0,13027.0,2757.0,14833.0,9817.0,8126.0,6940.0,15616.0,2171.0,4843.0,5422.0,3476.0,5429.0,2873.0,10387.0,4050.0,14509.0,11825.0,2903.0,19248.0,26585.0,16496.0,13485.0,11158.0,1582.0,2652.0,1002.0,8575.0,1233231.0,1648175.017118
28749,2392.0,1389.0,7620.0,3764.0,1449.0,9544.0,14627.0,10385.0,2435.0,12366.0,7560.0,7275.0,5122.0,11285.0,1830.0,3414.0,4097.0,2942.0,4706.0,2828.0,9931.0,3310.0,14225.0,9650.0,2051.0,16957.0,21713.0,12917.0,12220.0,10875.0,1302.0,2338.0,906.0,6804.0,1008060.0,1299113.348902
28750,3219.0,3493.0,8790.0,5086.0,1810.0,10935.0,20483.0,14471.0,2646.0,15305.0,8832.0,8126.0,7328.0,17005.0,2035.0,5739.0,6065.0,3649.0,7054.0,2791.0,12801.0,5073.0,16415.0,14589.0,3137.0,21943.0,30079.0,20789.0,16493.0,13336.0,1712.0,2891.0,1341.0,9118.0,1288831.0,1600309.603039
28751,3280.0,3182.0,8851.0,4607.0,2129.0,10557.0,15023.0,13503.0,3415.0,16132.0,9395.0,7183.0,7145.0,14967.0,1767.0,5544.0,4656.0,3818.0,6604.0,2369.0,14630.0,4712.0,17191.0,15184.0,2887.0,24406.0,31508.0,18597.0,15225.0,15285.0,2096.0,2678.0,1394.0,7605.0,1227388.0,1456282.691394
28752,4111.0,3071.0,8271.0,4700.0,2746.0,12961.0,20453.0,16785.0,3600.0,19841.0,10601.0,9835.0,8318.0,20660.0,2451.0,5975.0,6806.0,4476.0,6934.0,3630.0,14225.0,4547.0,18898.0,12047.0,2134.0,22778.0,28882.0,15619.0,17598.0,16002.0,1789.0,3472.0,1237.0,9473.0,1465956.0,1973602.755966
28753,4269.0,2684.0,8658.0,4074.0,2196.0,10713.0,16661.0,12967.0,2312.0,12681.0,9587.0,7702.0,6987.0,12643.0,2289.0,5124.0,4717.0,3821.0,5779.0,2805.0,10709.0,3787.0,20387.0,9240.0,2437.0,19297.0,27567.0,11030.0,14578.0,9348.0,1513.0,3142.0,875.0,9011.0,1220487.0,1536680.611453
28754,2770.0,2813.0,6933.0,4320.0,1763.0,9834.0,25079.0,10734.0,3442.0,16140.0,8169.0,9724.0,6865.0,16506.0,2250.0,5207.0,5442.0,4324.0,7226.0,2900.0,13101.0,4295.0,14261.0,15275.0,3056.0,20693.0,27297.0,19081.0,16669.0,13536.0,1226.0,1971.0,946.0,8551.0,1239204.0,1642752.440465
