lh.aparc.foldind,lh_bankssts_foldind,lh_caudalanteriorcingulate_foldind,lh_caudalmiddlefrontal_foldind,lh_cuneus_foldind,lh_entorhinal_foldind,lh_fusiform_foldind,lh_inferiorparietal_foldind,lh_inferiortemporal_foldind,lh_isthmuscingulate_foldind,lh_lateraloccipital_foldind,lh_lateralorbitofrontal_foldind,lh_lingual_foldind,lh_medialorbitofrontal_foldind,lh_middletemporal_foldind,lh_parahippocampal_foldind,lh_paracentral_foldind,lh_parsopercularis_foldind,lh_parsorbitalis_foldind,lh_parstriangularis_foldind,lh_pericalcarine_foldind,lh_postcentral_foldind,lh_posteriorcingulate_foldind,lh_precentral_foldind,lh_precuneus_foldind,lh_rostralanteriorcingulate_foldind,lh_rostralmiddlefrontal_foldind,lh_superiorfrontal_foldind,lh_superiorparietal_foldind,lh_superiortemporal_foldind,lh_supramarginal_foldind,lh_frontalpole_foldind,lh_temporalpole_foldind,lh_transversetemporal_foldind,lh_insula_foldind,BrainSegVolNotVent,eTIV
28703,7.0,18.0,31.0,35.0,7.0,42.0,74.0,53.0,23.0,119.0,57.0,75.0,47.0,64.0,13.0,15.0,26.0,13.0,19.0,21.0,59.0,16.0,93.0,61.0,17.0,126.0,96.0,77.0,80.0,73.0,8.0,11.0,7.0,38.0,990039.0,1330419.795296
28704,12.0,14.0,37.0,33.0,7.0,53.0,108.0,83.0,26.0,110.0,44.0,56.0,35.0,69.0,19.0,18.0,26.0,12.0,31.0,19.0,67.0,27.0,74.0,95.0,13.0,154.0,123.0,109.0,65.0,116.0,7.0,10.0,7.0,43.0,1102515.0,1370500.178375
28705,13.0,18.0,40.0,33.0,5.0,77.0,79.0,86.0,21.0,141.0,52.0,74.0,54.0,63.0,16.0,20.0,26.0,15.0,30.0,28.0,65.0,42.0,92.0,88.0,20.0,146.0,139.0,105.0,79.0,84.0,9.0,10.0,7.0,69.0,1258343.0,1561910.774638
28706,9.0,11.0,36.0,38.0,6.0,55.0,86.0,64.0,22.0,96.0,44.0,83.0,34.0,65.0,10.0,11.0,37.0,19.0,25.0,33.0,53.0,16.0,80.0,58.0,8.0,134.0,127.0,92.0,68.0,96.0,9.0,13.0,8.0,38.0,1033841.0,919566.184897
28707,19.0,27.0,35.0,40.0,2.0,59.0,87.0,93.0,24.0,106.0,49.0,75.0,56.0,83.0,15.0,18.0,30.0,21.0,36.0,26.0,86.0,20.0,83.0,72.0,9.0,141.0,144.0,121.0,85.0,113.0,7.0,8.0,8.0,61.0,1086677.0,1383716.812345
28708,7.0,14.0,42.0,29.0,4.0,48.0,97.0,62.0,17.0,114.0,43.0,61.0,21.0,56.0,10.0,17.0,22.0,16.0,56.0,19.0,65.0,18.0,89.0,47.0,11.0,127.0,123.0,93.0,55.0,55.0,7.0,10.0,7.0,35.0,973026.0,1092590.76653
28709,14.0,8.0,41.0,17.0,20.0,114.0,60.0,149.0,34.0,180.0,60.0,90.0,40.0,146.0,28.0,29.0,30.0,19.0,31.0,19.0,70.0,24.0,57.0,47.0,12.0,107.0,121.0,79.0,66.0,128.0,10.0,9.0,3.0,83.0,1122881.0,1556609.581396
28710,13.0,12.0,48.0,34.0,6.0,70.0,97.0,64.0,14.0,109.0,38.0,66.0,38.0,88.0,10.0,21.0,38.0,16.0,30.0,24.0,54.0,18.0,103.0,60.0,6.0,109.0,187.0,76.0,56.0,93.0,10.0,13.0,7.0,39.0,998542.0,1926356.603642
28711,5.0,10.0,34.0,35.0,8.0,58.0,91.0,72.0,21.0,76.0,41.0,44.0,33.0,39.0,8.0,16.0,21.0,14.0,24.0,22.0,83.0,19.0,100.0,64.0,10.0,123.0,111.0,112.0,49.0,80.0,9.0,6.0,6.0,47.0,914916.0,1264334.982976
28713,10.0,14.0,42.0,40.0,7.0,67.0,108.0,109.0,25.0,106.0,64.0,50.0,51.0,89.0,9.0,18.0,32.0,20.0,31.0,12.0,85.0,39.0,84.0,72.0,14.0,177.0,141.0,117.0,71.0,81.0,10.0,7.0,9.0,40.0,1156106.0,1468385.932236
28714,10.0,9.0,29.0,33.0,6.0,56.0,70.0,51.0,17.0,89.0,41.0,67.0,47.0,69.0,12.0,15.0,27.0,19.0,29.0,30.0,61.0,20.0,85.0,62.0,6.0,171.0,143.0,87.0,71.0,79.0,8.0,11.0,9.0,36.0,943799.0,1212943.827363
28715,11.0,12.0,38.0,34.0,5.0,52.0,93.0,74.0,22.0,113.0,42.0,71.0,36.0,63.0,12.0,16.0,22.0,16.0,27.0,23.0,82.0,17.0,83.0,66.0,17.0,112.0,123.0,97.0,68.0,102.0,6.0,11.0,8.0,79.0,1038258.0,1386272.993019
28716,8.0,10.0,28.0,36.0,4.0,48.0,83.0,48.0,18.0,102.0,51.0,59.0,35.0,52.0,5.0,14.0,29.0,15.0,25.0,23.0,58.0,22.0,79.0,54.0,11.0,100.0,107.0,76.0,62.0,54.0,7.0,6.0,6.0,56.0,949433.0,1217048.918378
28717,14.0,11.0,48.0,31.0,4.0,54.0,129.0,71.0,15.0,306.0,52.0,56.0,41.0,90.0,9.0,20.0,33.0,19.0,30.0,16.0,79.0,23.0,98.0,56.0,19.0,153.0,126.0,88.0,93.0,112.0,15.0,5.0,8.0,51.0,1096903.0,1464332.463478
28718,13.0,13.0,40.0,31.0,5.0,67.0,93.0,61.0,27.0,109.0,71.0,69.0,42.0,79.0,12.0,20.0,29.0,18.0,40.0,20.0,78.0,26.0,98.0,70.0,17.0,155.0,118.0,94.0,86.0,120.0,11.0,21.0,11.0,55.0,1112617.0,1491374.402614
28719,22.0,11.0,38.0,42.0,4.0,43.0,43.0,45.0,30.0,106.0,52.0,63.0,30.0,59.0,13.0,22.0,17.0,13.0,16.0,33.0,83.0,26.0,69.0,71.0,16.0,96.0,122.0,83.0,81.0,125.0,7.0,9.0,2.0,50.0,1018825.0,1339549.54036
28720,15.0,13.0,33.0,41.0,5.0,61.0,82.0,51.0,25.0,123.0,63.0,71.0,49.0,77.0,10.0,15.0,28.0,14.0,28.0,30.0,67.0,29.0,62.0,62.0,15.0,154.0,145.0,92.0,90.0,91.0,8.0,13.0,10.0,44.0,1317149.0,1762918.793083
28721,12.0,14.0,47.0,16.0,4.0,53.0,68.0,49.0,14.0,131.0,58.0,64.0,51.0,52.0,17.0,24.0,35.0,18.0,22.0,20.0,90.0,16.0,181.0,27.0,20.0,140.0,144.0,71.0,69.0,71.0,6.0,11.0,10.0,88.0,1110569.0,1358255.867557
28722,9.0,8.0,37.0,29.0,2.0,47.0,94.0,60.0,19.0,110.0,57.0,53.0,31.0,77.0,12.0,20.0,23.0,25.0,19.0,17.0,69.0,28.0,90.0,67.0,18.0,102.0,111.0,106.0,73.0,91.0,9.0,15.0,13.0,38.0,1054824.0,1270989.211492
28723,17.0,11.0,46.0,22.0,9.0,60.0,99.0,73.0,22.0,103.0,50.0,69.0,46.0,71.0,9.0,15.0,21.0,18.0,23.0,14.0,72.0,21.0,83.0,59.0,12.0,117.0,107.0,89.0,69.0,86.0,9.0,12.0,8.0,43.0,1168186.0,1563481.763916
28724,17.0,15.0,36.0,38.0,5.0,60.0,105.0,114.0,21.0,125.0,53.0,83.0,33.0,88.0,15.0,22.0,32.0,28.0,31.0,34.0,69.0,24.0,90.0,62.0,14.0,152.0,140.0,106.0,112.0,81.0,7.0,15.0,10.0,43.0,1039695.0,1998187.848742
28725,10.0,11.0,40.0,14.0,6.0,50.0,108.0,68.0,23.0,114.0,72.0,75.0,59.0,69.0,18.0,19.0,23.0,16.0,18.0,20.0,76.0,26.0,85.0,73.0,25.0,129.0,134.0,107.0,82.0,95.0,7.0,9.0,9.0,56.0,1224678.0,1607537.113805
28726,14.0,8.0,34.0,33.0,9.0,47.0,100.0,83.0,19.0,116.0,56.0,62.0,42.0,70.0,19.0,11.0,24.0,13.0,21.0,24.0,72.0,19.0,69.0,52.0,15.0,134.0,120.0,89.0,85.0,83.0,7.0,17.0,11.0,52.0,1284277.0,1646834.814081
28727,16.0,19.0,52.0,30.0,15.0,44.0,79.0,51.0,32.0,118.0,65.0,47.0,58.0,73.0,15.0,22.0,35.0,15.0,32.0,19.0,82.0,29.0,85.0,65.0,23.0,130.0,140.0,89.0,75.0,110.0,7.0,7.0,9.0,42.0,1129367.0,901536.68097
28728,22.0,12.0,50.0,29.0,5.0,48.0,148.0,50.0,26.0,112.0,60.0,41.0,29.0,85.0,23.0,19.0,35.0,25.0,51.0,15.0,107.0,17.0,103.0,69.0,16.0,132.0,150.0,121.0,100.0,83.0,8.0,9.0,18.0,90.0,1190741.0,1589060.132082
28729,12.0,12.0,26.0,34.0,5.0,60.0,94.0,78.0,16.0,113.0,54.0,66.0,46.0,85.0,10.0,20.0,25.0,22.0,25.0,28.0,68.0,21.0,70.0,58.0,20.0,157.0,148.0,61.0,83.0,75.0,11.0,15.0,11.0,36.0,1147380.0,1511609.978913
28730,31.0,10.0,57.0,44.0,5.0,63.0,116.0,77.0,19.0,126.0,46.0,85.0,40.0,81.0,9.0,14.0,28.0,16.0,22.0,28.0,66.0,26.0,78.0,58.0,18.0,154.0,134.0,90.0,74.0,90.0,10.0,13.0,7.0,53.0,1267702.0,1672365.000754
28731,12.0,9.0,49.0,41.0,10.0,63.0,89.0,54.0,19.0,126.0,49.0,64.0,50.0,66.0,11.0,21.0,29.0,16.0,17.0,25.0,82.0,25.0,86.0,69.0,17.0,135.0,124.0,102.0,80.0,78.0,7.0,11.0,8.0,40.0,1096863.0,1156222.270617
28732,10.0,16.0,25.0,46.0,6.0,77.0,103.0,76.0,24.0,94.0,63.0,67.0,46.0,72.0,7.0,19.0,27.0,25.0,29.0,24.0,86.0,26.0,73.0,76.0,27.0,164.0,145.0,116.0,75.0,120.0,8.0,11.0,9.0,41.0,1114653.0,1457390.638739
28733,7.0,7.0,28.0,33.0,10.0,46.0,98.0,60.0,20.0,87.0,80.0,61.0,46.0,64.0,29.0,19.0,27.0,19.0,25.0,25.0,74.0,18.0,69.0,55.0,13.0,126.0,149.0,112.0,101.0,81.0,7.0,7.0,12.0,63.0,1085977.0,1449553.722033
28741,19.0,25.0,41.0,41.0,4.0,73.0,113.0,84.0,27.0,118.0,59.0,84.0,53.0,88.0,14.0,24.0,30.0,22.0,35.0,27.0,101.0,35.0,69.0,88.0,24.0,166.0,148.0,97.0,79.0,122.0,9.0,10.0,12.0,46.0,1199503.0,1452249.087469
28742,11.0,13.0,37.0,27.0,4.0,57.0,82.0,56.0,23.0,116.0,48.0,42.0,39.0,52.0,9.0,14.0,27.0,16.0,26.0,20.0,69.0,26.0,60.0,61.0,23.0,99.0,119.0,84.0,56.0,67.0,7.0,8.0,8.0,34.0,1158439.0,1304007.288223
28743,9.0,11.0,28.0,33.0,3.0,67.0,71.0,64.0,17.0,105.0,52.0,52.0,50.0,72.0,11.0,13.0,24.0,17.0,19.0,19.0,55.0,21.0,66.0,48.0,12.0,114.0,102.0,79.0,51.0,44.0,8.0,8.0,5.0,29.0,1106072.0,1389302.893771
28744,9.0,17.0,45.0,40.0,4.0,60.0,96.0,86.0,25.0,107.0,58.0,86.0,44.0,84.0,10.0,22.0,44.0,15.0,26.0,26.0,82.0,26.0,74.0,85.0,32.0,144.0,136.0,112.0,61.0,54.0,9.0,19.0,9.0,31.0,1282591.0,1613277.32763
28745,16.0,14.0,33.0,28.0,10.0,50.0,69.0,71.0,18.0,102.0,53.0,50.0,45.0,64.0,19.0,15.0,30.0,11.0,22.0,26.0,67.0,27.0,71.0,67.0,14.0,111.0,109.0,74.0,59.0,69.0,8.0,7.0,8.0,39.0,1166317.0,1503209.271319
28746,12.0,8.0,34.0,31.0,4.0,63.0,108.0,81.0,25.0,102.0,55.0,53.0,55.0,85.0,6.0,17.0,24.0,17.0,33.0,23.0,112.0,21.0,87.0,76.0,30.0,141.0,125.0,102.0,83.0,126.0,12.0,12.0,11.0,39.0,1253796.0,1551854.856737
28747,14.0,9.0,31.0,31.0,8.0,64.0,104.0,68.0,22.0,109.0,52.0,56.0,45.0,72.0,6.0,13.0,23.0,14.0,16.0,21.0,82.0,23.0,66.0,69.0,15.0,112.0,125.0,84.0,63.0,105.0,8.0,9.0,9.0,46.0,1162533.0,1506980.277952
28748,13.0,9.0,37.0,41.0,3.0,69.0,94.0,79.0,16.0,111.0,61.0,67.0,43.0,69.0,18.0,19.0,27.0,14.0,32.0,30.0,65.0,23.0,56.0,69.0,22.0,116.0,129.0,106.0,60.0,78.0,10.0,10.0,8.0,31.0,1233231.0,1648175.017118
28749,11.0,8.0,35.0,36.0,4.0,57.0,82.0,54.0,22.0,117.0,48.0,54.0,47.0,57.0,8.0,16.0,23.0,21.0,21.0,28.0,59.0,20.0,66.0,63.0,7.0,112.0,116.0,87.0,60.0,70.0,6.0,9.0,8.0,30.0,1008060.0,1299113.348902
28750,11.0,10.0,36.0,36.0,5.0,52.0,86.0,73.0,21.0,113.0,54.0,54.0,42.0,78.0,10.0,17.0,34.0,20.0,21.0,18.0,68.0,23.0,72.0,82.0,25.0,151.0,152.0,134.0,65.0,78.0,10.0,7.0,10.0,33.0,1288831.0,1600309.603039
28751,5.0,15.0,34.0,39.0,6.0,51.0,59.0,70.0,18.0,106.0,44.0,45.0,46.0,54.0,8.0,15.0,52.0,16.0,36.0,17.0,71.0,29.0,56.0,69.0,24.0,103.0,144.0,109.0,56.0,68.0,8.0,9.0,16.0,37.0,1227388.0,1456282.691394
28752,13.0,16.0,30.0,38.0,6.0,65.0,103.0,77.0,20.0,112.0,53.0,73.0,49.0,90.0,9.0,36.0,33.0,26.0,30.0,22.0,102.0,24.0,86.0,69.0,15.0,160.0,122.0,91.0,62.0,92.0,8.0,9.0,8.0,40.0,1465956.0,1973602.755966
28753,6.0,11.0,41.0,38.0,8.0,58.0,72.0,70.0,23.0,104.0,62.0,64.0,54.0,65.0,7.0,16.0,22.0,16.0,24.0,24.0,79.0,21.0,67.0,68.0,26.0,115.0,123.0,101.0,55.0,90.0,11.0,12.0,8.0,34.0,1220487.0,1536680.611453
28754,19.0,10.0,31.0,35.0,9.0,53.0,98.0,67.0,26.0,106.0,47.0,72.0,34.0,62.0,8.0,20.0,23.0,15.0,26.0,30.0,94.0,21.0,78.0,77.0,14.0,109.0,140.0,118.0,70.0,81.0,9.0,10.0,8.0,39.0,1239204.0,1642752.440465
28755,11.0,6.0,37.0,35.0,6.0,69.0,87.0,66.0,21.0,114.0,54.0,90.0,60.0,49.0,11.0,21.0,26.0,28.0,24.0,27.0,73.0,17.0,66.0,78.0,22.0,106.0,117.0,102.0,61.0,73.0,11.0,11.0,10.0,47.0,1215231.0,1507420.933141
28756,13.0,10.0,37.0,27.0,8.0,65.0,88.0,61.0,24.0,103.0,54.0,55.0,51.0,67.0,11.0,21.0,39.0,21.0,24.0,56.0,78.0,34.0,71.0,76.0,13.0,129.0,152.0,120.0,82.0,87.0,6.0,15.0,16.0,29.0,1180597.0,1606261.527834
28757,11.0,3.0,28.0,27.0,5.0,57.0,79.0,68.0,17.0,95.0,55.0,58.0,31.0,57.0,6.0,16.0,28.0,16.0,16.0,23.0,65.0,16.0,55.0,69.0,17.0,126.0,123.0,95.0,51.0,72.0,8.0,11.0,7.0,39.0,1155117.0,1453981.023253
28758,7.0,18.0,37.0,59.0,4.0,83.0,92.0,62.0,27.0,123.0,60.0,68.0,51.0,66.0,9.0,18.0,31.0,24.0,29.0,27.0,78.0,28.0,67.0,67.0,20.0,120.0,113.0,105.0,61.0,81.0,11.0,8.0,9.0,35.0,1209205.0,1542737.657757
28759,10.0,10.0,33.0,24.0,6.0,76.0,77.0,51.0,22.0,102.0,51.0,56.0,32.0,61.0,13.0,24.0,29.0,16.0,26.0,17.0,66.0,26.0,61.0,60.0,19.0,107.0,116.0,84.0,57.0,80.0,12.0,10.0,8.0,32.0,1116453.0,1347341.994383
28760,11.0,10.0,39.0,31.0,6.0,70.0,90.0,73.0,20.0,109.0,56.0,50.0,48.0,80.0,12.0,18.0,32.0,17.0,18.0,22.0,82.0,26.0,65.0,68.0,16.0,138.0,125.0,100.0,61.0,76.0,8.0,9.0,8.0,29.0,1317958.0,1775619.251524
28761,10.0,7.0,38.0,32.0,11.0,59.0,97.0,74.0,20.0,98.0,39.0,53.0,45.0,60.0,10.0,16.0,32.0,15.0,28.0,24.0,64.0,33.0,61.0,59.0,8.0,108.0,110.0,113.0,68.0,58.0,6.0,11.0,11.0,21.0,1115641.0,1487698.469655
28762,11.0,12.0,42.0,45.0,5.0,81.0,95.0,91.0,30.0,121.0,59.0,69.0,45.0,77.0,11.0,16.0,27.0,18.0,28.0,25.0,73.0,30.0,70.0,93.0,28.0,145.0,128.0,119.0,68.0,84.0,16.0,15.0,8.0,32.0,1381043.0,1691182.96169
28763,12.0,10.0,34.0,34.0,4.0,43.0,76.0,50.0,20.0,92.0,49.0,53.0,49.0,60.0,8.0,14.0,20.0,21.0,22.0,22.0,58.0,23.0,50.0,66.0,15.0,98.0,100.0,81.0,59.0,57.0,8.0,11.0,8.0,31.0,1050174.0,1278665.608104
28764,13.0,9.0,43.0,36.0,15.0,52.0,109.0,44.0,26.0,82.0,41.0,51.0,33.0,68.0,18.0,17.0,28.0,15.0,21.0,16.0,118.0,21.0,93.0,65.0,7.0,66.0,128.0,96.0,96.0,95.0,9.0,18.0,13.0,36.0,1024884.0,1603274.143
28765,16.0,11.0,31.0,23.0,6.0,66.0,217.0,82.0,24.0,101.0,47.0,49.0,39.0,74.0,10.0,23.0,31.0,15.0,28.0,14.0,66.0,30.0,64.0,79.0,15.0,136.0,126.0,101.0,70.0,106.0,8.0,12.0,8.0,44.0,1153454.0,1512707.12276
28766,12.0,14.0,46.0,40.0,7.0,66.0,88.0,71.0,28.0,116.0,62.0,58.0,43.0,72.0,9.0,25.0,37.0,23.0,23.0,26.0,110.0,32.0,85.0,79.0,34.0,152.0,196.0,113.0,87.0,131.0,8.0,15.0,13.0,29.0,1455921.0,1897717.647114
28767,16.0,11.0,37.0,28.0,10.0,68.0,88.0,97.0,30.0,104.0,42.0,55.0,49.0,85.0,11.0,17.0,33.0,13.0,20.0,18.0,65.0,29.0,66.0,80.0,17.0,154.0,141.0,106.0,74.0,90.0,11.0,9.0,9.0,34.0,1333034.0,1581978.763331
28768,19.0,10.0,29.0,43.0,4.0,61.0,97.0,62.0,20.0,115.0,55.0,64.0,48.0,59.0,11.0,19.0,23.0,14.0,26.0,24.0,78.0,20.0,74.0,66.0,23.0,138.0,111.0,115.0,57.0,63.0,9.0,15.0,9.0,35.0,1301030.0,1674497.593927
28769,5.0,10.0,26.0,29.0,6.0,51.0,83.0,49.0,21.0,90.0,33.0,42.0,29.0,53.0,11.0,21.0,23.0,15.0,19.0,20.0,54.0,17.0,75.0,65.0,10.0,99.0,100.0,97.0,50.0,54.0,7.0,10.0,6.0,26.0,982821.0,1270527.250846
