rh.aparc.thicknessstd,rh_bankssts_thicknessstd,rh_caudalanteriorcingulate_thicknessstd,rh_caudalmiddlefrontal_thicknessstd,rh_cuneus_thicknessstd,rh_entorhinal_thicknessstd,rh_fusiform_thicknessstd,rh_inferiorparietal_thicknessstd,rh_inferiortemporal_thicknessstd,rh_isthmuscingulate_thicknessstd,rh_lateraloccipital_thicknessstd,rh_lateralorbitofrontal_thicknessstd,rh_lingual_thicknessstd,rh_medialorbitofrontal_thicknessstd,rh_middletemporal_thicknessstd,rh_parahippocampal_thicknessstd,rh_paracentral_thicknessstd,rh_parsopercularis_thicknessstd,rh_parsorbitalis_thicknessstd,rh_parstriangularis_thicknessstd,rh_pericalcarine_thicknessstd,rh_postcentral_thicknessstd,rh_posteriorcingulate_thicknessstd,rh_precentral_thicknessstd,rh_precuneus_thicknessstd,rh_rostralanteriorcingulate_thicknessstd,rh_rostralmiddlefrontal_thicknessstd,rh_superiorfrontal_thicknessstd,rh_superiorparietal_thicknessstd,rh_superiortemporal_thicknessstd,rh_supramarginal_thicknessstd,rh_frontalpole_thicknessstd,rh_temporalpole_thicknessstd,rh_transversetemporal_thicknessstd,rh_insula_thicknessstd,BrainSegVolNotVent,eTIV
28691,0.574,0.866,0.421,0.658,0.777,0.647,0.551,0.765,0.722,0.616,0.756,0.669,0.611,0.79,0.717,0.499,0.447,0.602,0.506,0.443,0.604,0.856,0.6,0.509,0.768,0.471,0.572,0.53,0.757,0.526,0.627,0.865,0.45,0.837,1195487.0,1623488.210408
28692,0.871,0.672,0.496,0.524,0.717,0.573,0.632,0.652,0.936,0.679,0.625,0.683,0.665,0.783,0.687,0.643,0.494,0.609,0.498,0.585,0.763,0.743,0.699,0.706,0.778,0.498,0.611,0.575,0.751,0.828,0.476,0.817,0.39,0.92,1151732.0,1510541.372515
28693,0.479,0.955,0.535,0.88,0.731,0.753,0.619,0.886,0.917,0.775,1.088,0.87,1.037,0.862,0.779,0.892,0.786,0.782,0.635,0.829,0.633,0.78,0.611,0.781,0.856,0.615,0.836,0.745,0.775,0.738,0.853,0.978,0.616,0.999,920658.0,1373065.167184
28694,0.496,0.667,0.496,0.572,0.761,0.714,0.649,0.746,0.917,0.566,0.733,0.679,0.748,0.833,0.761,0.581,0.575,0.607,0.579,0.567,0.709,0.867,0.649,0.546,0.705,0.591,0.637,0.5,0.838,0.649,0.656,0.961,0.617,0.97,1195332.0,1641979.967402
28695,0.509,0.831,0.513,0.499,0.804,0.588,0.6,0.652,0.843,0.625,0.624,0.509,0.71,0.768,0.63,0.542,0.565,0.626,0.525,0.529,0.558,0.765,0.481,0.525,0.695,0.52,0.667,0.497,0.656,0.569,0.622,0.838,0.348,0.893,1197988.0,1569602.799874
28696,0.61,0.84,0.511,0.474,0.97,0.671,0.641,0.743,0.736,0.582,0.754,0.581,0.721,0.817,0.658,0.446,0.504,0.713,0.616,0.492,0.563,0.783,0.575,0.54,0.782,0.504,0.637,0.497,0.762,0.682,0.641,0.735,0.426,0.828,1116165.0,1464651.774344
28697,0.557,0.737,0.421,0.547,0.574,0.641,0.535,0.674,0.762,0.501,0.74,0.591,0.829,0.828,0.678,0.481,0.409,0.512,0.542,0.529,0.502,0.691,0.544,0.503,0.869,0.499,0.579,0.476,0.799,0.648,0.696,0.991,0.49,0.773,1203425.0,1064500.287294
28698,0.466,0.666,0.43,0.48,0.675,0.589,0.668,0.647,0.768,0.814,0.634,0.527,0.689,0.735,0.783,0.447,0.512,0.587,0.514,0.387,0.554,0.757,0.548,0.461,0.739,0.563,0.659,0.559,0.687,0.763,1.065,0.651,0.588,0.814,1214472.0,1741833.129001
28699,0.553,0.755,0.486,0.436,0.755,0.553,0.585,0.736,0.794,0.553,0.611,0.563,0.597,0.768,0.557,0.505,0.439,0.485,0.513,0.426,0.57,0.739,0.521,0.489,0.795,0.514,0.547,0.446,0.657,0.609,0.574,0.725,0.464,0.732,1185186.0,1528514.529953
28700,0.534,0.7,0.458,0.536,0.854,0.627,0.56,0.608,0.758,0.61,0.704,0.66,0.618,0.778,0.834,0.543,0.512,0.682,0.539,0.519,0.57,0.749,0.6,0.508,0.852,0.529,0.605,0.495,0.826,0.542,0.523,0.908,0.457,0.879,981788.0,1235123.465615
28701,0.49,0.74,0.555,0.564,0.926,0.608,0.55,0.739,0.739,0.661,0.692,0.587,0.657,0.761,0.67,0.561,0.491,0.504,0.63,0.529,0.588,0.805,0.7,0.503,0.547,0.64,0.753,0.54,0.725,0.558,0.808,0.852,0.365,0.819,1303898.0,1757915.923551
28702,0.526,0.633,0.596,0.524,0.971,0.606,0.549,0.71,0.667,0.681,0.671,0.628,0.734,0.758,0.751,0.545,0.516,0.564,0.562,0.532,0.518,0.751,0.55,0.518,0.858,0.525,0.567,0.557,0.652,0.534,0.659,0.761,0.397,0.89,1111560.0,2167270.02255
28703,0.551,0.668,0.537,0.536,0.97,0.536,0.604,0.74,0.704,0.584,0.645,0.56,0.642,0.811,0.631,0.498,0.533,0.522,0.523,0.452,0.626,0.585,0.579,0.505,0.768,0.501,0.595,0.49,0.716,0.625,0.503,0.867,0.51,0.819,990039.0,1330419.795296
28704,0.611,0.808,0.486,0.481,0.743,0.66,0.552,0.869,0.828,0.561,0.59,0.68,0.778,0.818,0.744,0.471,0.449,0.579,0.558,0.425,0.52,0.838,0.544,0.546,0.92,0.538,0.608,0.528,0.752,0.584,0.551,0.879,0.471,0.997,1102515.0,1370500.178375
28705,0.499,0.73,0.441,0.421,0.87,0.515,0.569,0.65,0.771,0.565,0.665,0.597,0.777,0.646,0.566,0.417,0.472,0.527,0.489,0.455,0.537,0.709,0.544,0.483,0.701,0.513,0.549,0.525,0.647,0.541,0.575,0.982,0.413,0.892,1258343.0,1561910.774638
28706,0.61,0.798,0.45,0.548,0.723,0.581,0.447,0.587,0.608,0.627,0.658,0.624,0.779,0.616,0.729,0.467,0.468,0.619,0.545,0.752,0.581,0.672,0.551,0.466,0.554,0.527,0.641,0.452,0.593,0.514,0.708,0.852,0.485,0.83,1033841.0,919566.184897
28707,0.445,0.807,0.445,0.522,0.727,0.538,0.605,0.647,0.709,0.535,0.776,0.658,0.731,0.704,0.763,0.468,0.459,0.678,0.508,0.447,0.668,0.923,0.557,0.514,0.879,0.496,0.585,0.56,0.621,0.58,0.727,0.878,0.573,0.708,1086677.0,1383716.812345
28708,0.374,0.769,0.517,0.416,0.844,0.55,0.535,0.586,0.786,0.452,0.606,0.503,0.684,0.638,0.667,0.534,0.424,0.535,0.488,0.439,0.549,0.739,0.54,0.555,0.762,0.497,0.552,0.468,0.569,0.522,0.649,0.754,0.571,0.814,973026.0,1092590.76653
28709,0.548,0.657,0.512,0.459,0.622,0.577,0.613,0.65,0.749,0.575,0.81,0.579,0.669,0.648,0.563,0.492,0.53,0.472,0.507,0.47,0.62,0.63,0.602,0.472,0.847,0.479,0.574,0.471,0.589,0.545,0.519,0.608,0.44,0.826,1122881.0,1556609.581396
28710,0.756,0.751,0.536,0.602,0.89,0.609,0.628,0.727,0.768,0.62,0.815,0.622,0.801,0.725,0.821,0.564,0.592,0.725,0.543,0.588,0.529,0.837,0.557,0.528,0.887,0.589,0.669,0.488,0.784,0.726,0.915,0.746,0.495,0.875,998542.0,1926356.603642
28711,0.452,0.738,0.572,0.523,0.692,0.739,0.521,0.837,0.747,0.721,0.772,0.698,0.689,0.724,0.747,0.514,0.547,0.716,0.494,0.5,0.6,0.7,0.561,0.533,0.727,0.561,0.58,0.53,0.593,0.635,0.693,0.717,0.43,0.784,914916.0,1264334.982976
28713,0.579,0.771,0.56,0.519,1.02,0.612,0.637,0.802,0.882,0.647,0.708,0.641,0.659,0.733,0.682,0.488,0.663,0.539,0.596,0.491,0.523,0.977,0.575,0.595,0.764,0.541,0.599,0.581,0.676,0.598,0.607,0.851,0.329,0.799,1156106.0,1468385.932236
28714,0.535,0.654,0.492,0.459,0.896,0.736,0.577,0.738,0.751,0.551,0.717,0.62,0.735,0.696,0.667,0.503,0.603,0.748,0.609,0.474,0.537,0.691,0.648,0.523,0.691,0.575,0.651,0.471,0.695,0.573,0.736,0.627,0.489,0.949,943799.0,1212943.827363
28715,0.497,0.71,0.474,0.447,0.747,0.534,0.495,0.636,0.705,0.584,0.731,0.549,0.734,0.636,0.661,0.55,0.53,0.492,0.538,0.428,0.577,0.77,0.489,0.499,0.763,0.5,0.546,0.431,0.607,0.519,0.539,0.928,0.327,0.901,1038258.0,1386272.993019
28716,0.371,0.628,0.512,0.431,0.557,0.54,0.543,0.67,0.691,0.563,0.652,0.552,0.613,0.648,0.597,0.557,0.525,0.511,0.546,0.665,0.559,0.685,0.546,0.504,0.585,0.547,0.586,0.525,0.677,0.527,0.643,0.974,0.35,0.651,949433.0,1217048.918378
28717,0.477,0.933,0.531,0.465,0.578,0.718,0.589,0.711,0.837,0.53,0.793,0.633,0.769,0.695,0.714,0.412,0.511,0.689,0.554,0.432,0.572,0.74,0.544,0.523,0.926,0.552,0.703,0.471,0.628,0.54,0.67,0.703,0.45,0.766,1096903.0,1464332.463478
28718,0.366,0.68,0.501,0.469,0.705,0.615,0.522,0.641,0.802,0.487,0.608,0.535,0.634,0.646,0.595,0.584,0.429,0.534,0.531,0.5,0.548,0.646,0.602,0.51,0.52,0.505,0.514,0.487,0.597,0.59,0.601,0.711,0.361,0.766,1112617.0,1491374.402614
28719,0.468,0.712,0.521,0.537,0.784,0.632,0.489,0.756,0.665,0.506,0.626,0.506,0.657,0.615,0.859,0.526,0.582,0.457,0.493,0.438,0.566,0.552,0.562,0.517,0.557,0.545,0.598,0.481,0.596,0.537,0.668,0.915,0.436,0.975,1018825.0,1339549.54036
28720,0.432,0.635,0.458,0.562,0.872,0.556,0.512,0.667,0.688,0.555,0.723,0.603,0.639,0.687,0.754,0.509,0.467,0.557,0.473,0.419,0.571,0.64,0.566,0.474,0.611,0.519,0.58,0.416,0.61,0.607,0.683,0.826,0.494,0.791,1317149.0,1762918.793083
28721,0.552,0.68,0.476,0.476,0.861,0.637,0.515,0.738,0.882,0.61,0.587,0.662,0.649,0.817,0.997,0.574,0.428,0.524,0.562,0.467,0.549,0.658,0.593,0.533,0.754,0.47,0.518,0.429,0.602,0.529,0.498,0.804,0.519,0.758,1110569.0,1358255.867557
28722,0.572,0.931,0.487,0.519,0.631,0.592,0.603,0.796,0.778,0.644,0.753,0.551,0.745,0.839,0.652,0.591,0.537,0.669,0.654,0.398,0.623,0.791,0.602,0.551,0.776,0.574,0.566,0.563,0.749,0.674,0.377,0.834,0.431,0.883,1054824.0,1270989.211492
28723,0.425,0.75,0.466,0.525,0.719,0.594,0.869,0.979,0.836,0.643,0.743,0.739,0.667,0.823,0.616,0.52,0.447,0.655,0.509,0.529,0.608,0.856,0.584,0.491,0.611,0.511,0.56,0.478,0.722,0.777,0.546,0.789,0.446,0.946,1168186.0,1563481.763916
28724,0.583,0.645,0.502,0.516,1.046,0.633,0.54,0.779,0.895,0.5,0.721,0.603,0.714,0.787,0.799,0.484,0.49,0.597,0.537,0.431,0.662,0.876,0.544,0.558,0.689,0.526,0.672,0.521,0.705,0.822,0.472,0.84,0.578,0.876,1039695.0,1998187.848742
28725,0.417,0.67,0.535,0.517,0.61,0.557,0.456,0.698,0.709,0.637,0.693,0.569,0.65,0.636,0.53,0.548,0.49,0.524,0.545,0.513,0.546,0.692,0.57,0.501,0.773,0.506,0.56,0.49,0.683,0.504,0.523,0.744,0.425,0.859,1224678.0,1607537.113805
28726,0.39,0.827,0.526,0.474,0.767,0.636,0.566,0.77,0.741,0.607,0.706,0.617,0.672,0.69,0.687,0.522,0.505,0.602,0.591,0.482,0.672,0.813,0.629,0.514,0.747,0.546,0.643,0.473,0.711,0.64,0.719,0.824,0.548,0.847,1284277.0,1646834.814081
28727,0.648,0.503,0.51,0.455,0.616,0.57,0.606,0.739,0.744,0.639,0.66,0.539,0.574,0.826,0.717,0.501,0.457,0.544,0.584,0.377,0.509,0.742,0.572,0.529,0.769,0.512,0.562,0.498,0.773,0.567,0.49,0.903,0.478,0.933,1129367.0,901536.68097
28728,0.804,0.828,0.505,0.48,0.484,0.667,0.633,0.879,0.753,0.599,0.761,0.603,0.778,0.658,0.613,0.515,0.546,0.566,0.522,0.499,0.515,0.819,0.544,0.563,0.865,0.545,0.631,0.489,0.801,0.629,0.615,0.802,0.471,0.84,1190741.0,1589060.132082
28729,0.427,0.766,0.553,0.52,0.8,0.609,0.584,0.764,0.84,0.607,0.595,0.621,0.732,0.743,0.686,0.447,0.497,0.528,0.559,0.481,0.605,0.751,0.569,0.547,0.884,0.503,0.621,0.478,0.699,0.656,0.562,0.806,0.55,0.871,1147380.0,1511609.978913
28730,0.493,0.839,0.477,0.431,0.659,0.632,0.514,0.774,0.796,0.534,0.655,0.628,0.603,0.781,0.652,0.509,0.471,0.52,0.493,0.449,0.653,0.653,0.529,0.553,0.712,0.513,0.581,0.482,0.632,0.589,0.582,1.037,0.422,0.904,1267702.0,1672365.000754
28731,0.559,0.716,0.508,0.523,0.695,0.515,0.527,0.707,0.784,0.694,0.6,0.548,0.734,0.802,0.666,0.503,0.491,0.48,0.487,0.546,0.625,0.734,0.56,0.541,0.732,0.466,0.527,0.482,0.65,0.542,0.502,0.845,0.479,0.81,1096863.0,1156222.270617
28732,0.445,0.881,0.473,0.447,0.859,0.628,0.568,0.874,0.872,0.661,0.761,0.61,0.749,0.767,0.715,0.51,0.48,0.581,0.617,0.502,0.553,0.812,0.547,0.634,0.898,0.506,0.602,0.528,0.763,0.567,0.645,0.901,0.38,0.987,1114653.0,1457390.638739
28733,0.444,0.755,0.403,0.588,0.615,0.523,0.626,0.648,0.7,0.634,0.695,0.816,0.653,0.74,0.76,0.44,0.462,0.621,0.471,0.531,0.565,0.714,0.571,0.497,0.781,0.516,0.616,0.555,0.724,0.556,0.701,1.03,0.491,0.822,1085977.0,1449553.722033
28741,0.471,0.738,0.452,0.509,0.777,0.583,0.432,0.634,0.928,0.518,0.741,0.572,0.693,0.599,0.658,0.531,0.567,0.641,0.409,0.453,0.632,0.843,0.529,0.516,0.54,0.578,0.584,0.45,0.556,0.448,0.701,0.709,0.539,0.741,1199503.0,1452249.087469
28742,0.486,0.722,0.468,0.491,0.872,0.557,0.47,0.652,0.905,0.51,0.641,0.607,0.622,0.625,0.709,0.47,0.563,0.705,0.606,0.468,0.537,0.658,0.549,0.503,0.709,0.533,0.567,0.459,0.548,0.504,0.594,0.651,0.466,0.672,1158439.0,1304007.288223
28743,0.358,0.856,0.541,0.504,0.658,0.618,0.551,0.684,0.905,0.576,0.69,0.626,0.704,0.647,0.672,0.658,0.482,0.579,0.584,0.459,0.654,0.906,0.537,0.576,0.829,0.621,0.699,0.495,0.523,0.534,0.785,0.567,0.394,0.801,1106072.0,1389302.893771
28744,0.427,0.749,0.521,0.484,0.588,0.608,0.502,0.677,0.814,0.487,0.679,0.569,0.659,0.578,0.643,0.461,0.43,0.515,0.511,0.481,0.578,0.821,0.53,0.465,0.663,0.555,0.573,0.417,0.535,0.534,0.584,0.843,0.473,0.726,1282591.0,1613277.32763
28745,0.599,0.771,0.587,0.532,0.751,0.731,0.671,0.74,0.892,0.75,0.625,0.737,0.75,0.713,0.854,0.609,0.557,0.694,0.695,0.532,0.629,0.832,0.617,0.654,0.899,0.705,0.783,0.561,0.659,0.57,0.662,0.886,0.459,0.975,1166317.0,1503209.271319
28746,0.455,0.759,0.572,0.477,0.914,0.633,0.555,0.701,0.9,0.53,0.722,0.577,0.673,0.672,0.674,0.568,0.456,0.72,0.572,0.438,0.647,0.841,0.634,0.493,0.632,0.61,0.673,0.501,0.591,0.562,0.65,0.811,0.477,0.733,1253796.0,1551854.856737
28747,0.391,0.78,0.521,0.446,0.767,0.496,0.497,0.561,0.783,0.545,0.584,0.557,0.715,0.567,0.609,0.591,0.436,0.607,0.482,0.492,0.511,0.781,0.542,0.496,0.713,0.521,0.572,0.449,0.604,0.473,0.429,0.758,0.342,0.825,1162533.0,1506980.277952
28748,0.395,0.47,0.469,0.513,0.678,0.541,0.522,0.575,0.907,0.533,0.621,0.666,0.69,0.547,0.583,0.527,0.39,0.546,0.51,0.47,0.61,0.754,0.531,0.521,0.525,0.572,0.579,0.529,0.529,0.554,0.517,0.663,0.351,0.766,1233231.0,1648175.017118
28749,0.468,0.654,0.544,0.469,0.846,0.546,0.508,0.642,0.754,0.498,0.581,0.628,0.66,0.585,0.723,0.493,0.495,0.564,0.613,0.455,0.602,0.825,0.556,0.525,0.636,0.639,0.65,0.448,0.542,0.558,0.671,0.732,0.322,0.627,1008060.0,1299113.348902
28750,0.437,0.997,0.532,0.551,0.785,0.568,0.568,0.681,0.841,0.539,0.727,0.704,0.697,0.702,0.689,0.548,0.603,0.798,0.583,0.525,0.644,0.793,0.591,0.537,0.8,0.658,0.645,0.482,0.65,0.563,0.766,0.575,0.463,0.931,1288831.0,1600309.603039
28751,0.367,0.969,0.524,0.492,0.811,0.526,0.501,0.78,1.011,0.498,0.793,0.581,0.668,0.57,0.799,0.479,0.537,0.752,0.563,0.436,0.648,0.942,0.49,0.508,0.781,0.651,0.607,0.486,0.6,0.478,0.713,0.895,0.398,0.763,1227388.0,1456282.691394
28752,0.586,0.924,0.651,0.702,1.0,0.64,0.585,0.754,0.871,0.622,0.711,0.604,0.936,0.739,0.72,0.542,0.7,0.814,0.679,0.551,0.655,0.75,0.655,0.6,0.925,0.782,0.751,0.536,0.68,0.649,0.685,0.787,0.376,0.919,1465956.0,1973602.755966
28753,0.56,0.81,0.556,0.502,0.871,0.612,0.528,0.662,0.783,0.549,0.718,0.573,0.655,0.659,0.769,0.513,0.527,0.663,0.563,0.452,0.562,0.927,0.614,0.497,0.663,0.609,0.569,0.478,0.661,0.598,0.763,0.761,0.386,0.902,1220487.0,1536680.611453
28754,0.496,0.904,0.64,0.545,0.696,0.602,0.693,0.682,1.011,0.631,0.735,0.751,0.774,0.699,0.691,0.575,0.662,0.591,0.721,0.45,0.709,0.958,0.584,0.721,0.901,0.714,0.688,0.574,0.683,0.67,0.779,0.636,0.325,0.838,1239204.0,1642752.440465
28755,0.458,0.722,0.559,0.52,0.774,0.545,0.514,0.638,0.936,0.527,0.775,0.557,0.67,0.662,0.594,0.422,0.564,0.689,0.621,0.522,0.599,0.862,0.593,0.519,0.656,0.614,0.668,0.464,0.642,0.518,0.653,0.707,0.372,0.739,1215231.0,1507420.933141
28756,0.618,0.615,0.618,0.519,0.899,0.828,0.644,0.812,0.763,0.604,0.754,0.678,0.779,0.776,0.837,0.621,0.726,0.813,0.715,0.509,0.654,0.665,0.666,0.626,0.843,0.738,0.811,0.591,0.831,0.696,0.658,0.95,0.677,1.006,1180597.0,1606261.527834
28757,0.387,0.958,0.425,0.51,0.827,0.719,0.562,0.692,0.892,0.562,0.666,0.574,0.75,0.664,0.818,0.556,0.592,0.762,0.667,0.495,0.696,0.802,0.582,0.539,0.72,0.628,0.644,0.507,0.663,0.587,0.748,0.979,0.498,0.86,1155117.0,1453981.023253
28758,0.452,0.792,0.516,0.494,0.802,0.575,0.523,0.672,0.789,0.5,0.662,0.616,0.692,0.669,0.719,0.53,0.445,0.633,0.553,0.612,0.616,0.84,0.509,0.499,0.841,0.609,0.631,0.438,0.634,0.578,0.644,0.707,0.515,0.812,1209205.0,1542737.657757
28759,0.402,0.817,0.554,0.461,0.742,0.656,0.529,0.742,1.024,0.598,0.74,0.67,0.687,0.674,0.873,0.511,0.481,0.731,0.568,0.502,0.671,0.886,0.52,0.507,0.704,0.586,0.602,0.46,0.563,0.534,0.655,0.692,0.431,0.725,1116453.0,1347341.994383
28760,0.433,0.858,0.503,0.533,0.82,0.55,0.445,0.623,0.911,0.546,0.685,0.647,0.654,0.587,0.73,0.448,0.41,0.584,0.514,0.464,0.594,0.883,0.5,0.498,0.719,0.59,0.612,0.455,0.553,0.493,0.794,0.758,0.403,0.69,1317958.0,1775619.251524
28761,0.543,0.908,0.589,0.493,0.727,0.641,0.556,0.846,0.888,0.562,0.795,0.64,0.84,0.783,0.724,0.553,0.638,0.72,0.658,0.387,0.582,0.858,0.599,0.596,0.802,0.66,0.669,0.522,0.732,0.554,0.721,0.787,0.496,0.786,1115641.0,1487698.469655
28762,0.321,1.092,0.647,0.561,0.814,0.597,0.52,0.779,0.924,0.536,0.73,0.668,0.723,0.639,0.751,0.623,0.536,0.645,0.597,0.463,0.639,0.919,0.585,0.521,0.671,0.633,0.709,0.479,0.655,0.527,0.822,0.874,0.421,0.848,1381043.0,1691182.96169
28763,0.375,0.854,0.66,0.523,0.733,0.55,0.552,0.627,0.993,0.501,0.62,0.641,0.652,0.582,0.706,0.461,0.491,0.691,0.597,0.478,0.645,0.989,0.542,0.542,0.593,0.688,0.629,0.514,0.505,0.553,0.858,0.736,0.466,0.699,1050174.0,1278665.608104
28764,0.678,0.865,0.562,0.5,0.796,0.667,0.659,0.705,0.808,0.71,0.777,0.644,0.802,0.761,0.634,0.742,0.723,0.702,0.746,0.474,0.631,0.736,0.678,0.692,0.736,0.803,0.818,0.523,0.717,0.768,0.856,0.846,0.432,0.879,1024884.0,1603274.143
28765,0.41,0.84,0.567,0.509,0.851,0.611,0.55,0.72,0.957,0.609,0.664,0.612,0.694,0.596,0.592,0.554,0.462,0.559,0.555,0.401,0.58,0.874,0.529,0.568,0.674,0.604,0.635,0.486,0.622,0.541,0.611,0.639,0.404,0.659,1153454.0,1512707.12276
28766,0.514,0.82,0.694,0.629,0.885,0.566,0.644,0.793,1.011,0.606,0.773,0.645,0.736,0.75,0.729,0.723,0.733,0.913,0.715,0.471,0.855,0.863,0.742,0.662,0.822,0.731,0.797,0.587,0.661,0.78,0.556,0.859,0.443,0.906,1455921.0,1897717.647114
28767,0.419,0.668,0.617,0.447,0.86,0.532,0.517,0.735,0.961,0.601,0.822,0.623,0.826,0.685,0.593,0.621,0.697,0.797,0.788,0.563,0.67,0.848,0.667,0.619,0.76,0.751,0.812,0.571,0.615,0.645,0.762,0.722,0.485,0.763,1333034.0,1581978.763331
28768,0.392,0.718,0.534,0.439,0.695,0.646,0.552,0.718,0.975,0.559,0.713,0.585,0.715,0.671,0.545,0.505,0.552,0.777,0.606,0.457,0.681,0.823,0.627,0.6,0.679,0.692,0.692,0.514,0.607,0.66,0.657,0.937,0.451,0.847,1301030.0,1674497.593927
