rh.aparc.gauscurv,rh_bankssts_gauscurv,rh_caudalanteriorcingulate_gauscurv,rh_caudalmiddlefrontal_gauscurv,rh_cuneus_gauscurv,rh_entorhinal_gauscurv,rh_fusiform_gauscurv,rh_inferiorparietal_gauscurv,rh_inferiortemporal_gauscurv,rh_isthmuscingulate_gauscurv,rh_lateraloccipital_gauscurv,rh_lateralorbitofrontal_gauscurv,rh_lingual_gauscurv,rh_medialorbitofrontal_gauscurv,rh_middletemporal_gauscurv,rh_parahippocampal_gauscurv,rh_paracentral_gauscurv,rh_parsopercularis_gauscurv,rh_parsorbitalis_gauscurv,rh_parstriangularis_gauscurv,rh_pericalcarine_gauscurv,rh_postcentral_gauscurv,rh_posteriorcingulate_gauscurv,rh_precentral_gauscurv,rh_precuneus_gauscurv,rh_rostralanteriorcingulate_gauscurv,rh_rostralmiddlefrontal_gauscurv,rh_superiorfrontal_gauscurv,rh_superiorparietal_gauscurv,rh_superiortemporal_gauscurv,rh_supramarginal_gauscurv,rh_frontalpole_gauscurv,rh_temporalpole_gauscurv,rh_transversetemporal_gauscurv,rh_insula_gauscurv,BrainSegVolNotVent,eTIV
28687,0.026,0.033,0.032,0.051,0.058,0.045,0.046,0.047,0.05,0.043,0.063,0.056,0.053,0.045,0.049,0.037,0.039,0.042,0.029,0.059,0.036,0.045,0.035,0.045,0.044,0.03,0.031,0.04,0.035,0.044,0.064,0.086,0.042,0.049,1181876.0,1559027.632364
28688,0.026,0.029,0.027,0.051,0.062,0.039,0.039,0.045,0.046,0.049,0.053,0.059,0.042,0.045,0.05,0.032,0.029,0.041,0.029,0.057,0.034,0.039,0.035,0.041,0.037,0.037,0.03,0.034,0.031,0.046,0.031,0.061,0.046,0.047,1334612.0,1706529.901474
28690,0.028,0.032,0.038,0.051,0.072,0.045,0.046,0.05,0.054,0.045,0.051,0.06,0.052,0.046,0.045,0.039,0.042,0.05,0.044,0.051,0.037,0.04,0.042,0.042,0.032,0.046,0.037,0.038,0.044,0.043,0.054,0.073,0.069,0.054,1240485.0,1612319.450459
28691,0.03,0.032,0.027,0.056,0.058,0.045,0.04,0.052,0.049,0.046,0.059,0.056,0.055,0.049,0.046,0.037,0.029,0.037,0.03,0.051,0.033,0.039,0.03,0.038,0.042,0.035,0.032,0.036,0.041,0.04,0.064,0.054,0.046,0.05,1195487.0,1623488.210408
28692,0.048,0.039,0.03,0.048,0.059,0.041,0.047,0.047,0.061,0.038,0.049,0.05,0.059,0.046,0.037,0.044,0.041,0.033,0.035,0.044,0.063,0.042,0.045,0.065,0.047,0.034,0.04,0.043,0.044,0.075,0.063,0.075,0.025,0.056,1151732.0,1510541.372515
28693,0.053,0.068,0.049,0.073,0.095,0.082,0.069,0.084,0.081,0.077,0.071,0.07,0.059,0.062,0.069,0.057,0.069,0.077,0.064,0.058,0.059,0.066,0.068,0.063,0.048,0.063,0.057,0.064,0.067,0.054,0.104,0.089,0.07,0.061,920658.0,1373065.167184
28694,0.027,0.036,0.03,0.054,0.045,0.044,0.047,0.049,0.054,0.046,0.07,0.059,0.052,0.052,0.052,0.033,0.041,0.046,0.04,0.057,0.037,0.039,0.042,0.041,0.044,0.043,0.036,0.038,0.043,0.052,0.054,0.073,0.065,0.058,1195332.0,1641979.967402
28695,0.039,0.037,0.03,0.046,0.065,0.044,0.049,0.044,0.057,0.047,0.051,0.054,0.056,0.044,0.039,0.032,0.038,0.048,0.048,0.051,0.037,0.036,0.039,0.037,0.061,0.046,0.044,0.037,0.036,0.039,0.07,0.057,0.044,0.063,1197988.0,1569602.799874
28696,0.063,0.04,0.046,0.05,0.081,0.053,0.069,0.059,0.063,0.059,0.069,0.058,0.061,0.049,0.053,0.041,0.046,0.067,0.053,0.054,0.049,0.044,0.05,0.047,0.04,0.052,0.048,0.053,0.042,0.052,0.087,0.076,0.053,0.059,1116165.0,1464651.774344
28697,0.031,0.028,0.027,0.057,0.058,0.041,0.036,0.046,0.061,0.041,0.059,0.058,0.067,0.048,0.05,0.037,0.035,0.04,0.045,0.043,0.04,0.044,0.036,0.037,0.034,0.039,0.035,0.033,0.038,0.043,0.061,0.065,0.058,0.053,1203425.0,1064500.287294
28698,0.034,0.026,0.043,0.039,0.065,0.046,0.039,0.045,0.048,0.043,0.05,0.053,0.046,0.043,0.038,0.033,0.03,0.056,0.04,0.052,0.037,0.038,0.039,0.036,0.032,0.038,0.029,0.031,0.053,0.045,0.053,0.066,0.061,0.053,1214472.0,1741833.129001
28699,0.021,0.035,0.027,0.041,0.049,0.044,0.04,0.046,0.043,0.04,0.05,0.051,0.044,0.045,0.035,0.029,0.034,0.038,0.034,0.051,0.033,0.038,0.034,0.036,0.048,0.035,0.035,0.039,0.036,0.044,0.061,0.063,0.043,0.047,1185186.0,1528514.529953
28700,0.025,0.031,0.03,0.051,0.052,0.043,0.045,0.042,0.052,0.04,0.051,0.054,0.051,0.044,0.033,0.037,0.034,0.036,0.036,0.055,0.031,0.045,0.036,0.041,0.046,0.042,0.034,0.036,0.046,0.047,0.048,0.062,0.041,0.054,981788.0,1235123.465615
28701,0.017,0.031,0.031,0.041,0.057,0.033,0.037,0.033,0.037,0.046,0.046,0.049,0.044,0.027,0.035,0.029,0.031,0.031,0.025,0.053,0.029,0.035,0.027,0.033,0.039,0.032,0.03,0.032,0.027,0.034,0.047,0.042,0.027,0.038,1303898.0,1757915.923551
28702,0.024,0.032,0.048,0.056,0.052,0.045,0.047,0.045,0.049,0.046,0.058,0.057,0.057,0.04,0.041,0.034,0.038,0.061,0.042,0.044,0.04,0.038,0.04,0.049,0.039,0.038,0.041,0.043,0.041,0.05,0.07,0.077,0.052,0.049,1111560.0,2167270.02255
28703,0.057,0.037,0.039,0.044,0.066,0.044,0.069,0.05,0.055,0.057,0.054,0.061,0.057,0.049,0.048,0.04,0.038,0.039,0.033,0.06,0.047,0.042,0.047,0.039,0.05,0.048,0.041,0.042,0.044,0.056,0.064,0.062,0.052,0.062,990039.0,1330419.795296
28704,0.039,0.034,0.034,0.049,0.067,0.046,0.053,0.058,0.055,0.052,0.049,0.064,0.06,0.039,0.052,0.039,0.039,0.052,0.039,0.056,0.044,0.05,0.041,0.047,0.042,0.046,0.038,0.047,0.039,0.049,0.063,0.057,0.046,0.051,1102515.0,1370500.178375
28705,0.023,0.03,0.027,0.047,0.064,0.038,0.043,0.039,0.049,0.04,0.057,0.048,0.047,0.035,0.03,0.033,0.032,0.039,0.038,0.043,0.031,0.04,0.028,0.033,0.038,0.036,0.032,0.043,0.042,0.039,0.046,0.076,0.039,0.044,1258343.0,1561910.774638
28706,0.029,0.028,0.034,0.044,0.085,0.037,0.036,0.04,0.04,0.054,0.053,0.051,0.064,0.036,0.052,0.04,0.046,0.052,0.047,0.037,0.034,0.036,0.037,0.034,0.029,0.05,0.041,0.035,0.04,0.031,0.095,0.08,0.04,0.053,1033841.0,919566.184897
28707,0.026,0.029,0.026,0.05,0.054,0.044,0.049,0.044,0.043,0.048,0.055,0.062,0.046,0.045,0.052,0.027,0.032,0.036,0.026,0.052,0.035,0.037,0.031,0.039,0.03,0.033,0.03,0.036,0.041,0.042,0.053,0.07,0.057,0.051,1086677.0,1383716.812345
28708,0.031,0.043,0.031,0.049,0.054,0.044,0.047,0.051,0.051,0.043,0.049,0.051,0.066,0.042,0.037,0.038,0.033,0.047,0.032,0.044,0.035,0.042,0.036,0.039,0.043,0.035,0.036,0.036,0.034,0.043,0.062,0.075,0.054,0.041,973026.0,1092590.76653
28709,0.038,0.034,0.035,0.062,0.084,0.047,0.05,0.05,0.052,0.049,0.07,0.06,0.051,0.043,0.05,0.037,0.035,0.046,0.038,0.052,0.036,0.037,0.038,0.041,0.036,0.036,0.036,0.044,0.047,0.043,0.078,0.071,0.057,0.048,1122881.0,1556609.581396
28710,0.066,0.047,0.056,0.054,0.079,0.044,0.049,0.048,0.055,0.047,0.053,0.059,0.064,0.053,0.047,0.05,0.042,0.053,0.039,0.055,0.049,0.053,0.045,0.047,0.045,0.042,0.049,0.046,0.039,0.048,0.093,0.078,0.03,0.046,998542.0,1926356.603642
28711,0.031,0.039,0.042,0.043,0.037,0.049,0.046,0.043,0.036,0.065,0.065,0.054,0.061,0.039,0.03,0.042,0.04,0.05,0.037,0.038,0.048,0.046,0.043,0.042,0.055,0.045,0.042,0.043,0.033,0.046,0.051,0.058,0.042,0.051,914916.0,1264334.982976
28713,0.032,0.036,0.031,0.052,0.054,0.041,0.047,0.048,0.058,0.05,0.059,0.053,0.048,0.048,0.057,0.044,0.033,0.062,0.045,0.047,0.033,0.047,0.033,0.041,0.051,0.047,0.04,0.041,0.043,0.037,0.073,0.064,0.056,0.044,1156106.0,1468385.932236
28714,0.04,0.042,0.039,0.052,0.064,0.055,0.045,0.049,0.065,0.05,0.055,0.059,0.052,0.06,0.047,0.039,0.042,0.059,0.045,0.05,0.047,0.048,0.052,0.042,0.041,0.051,0.043,0.048,0.049,0.055,0.092,0.084,0.052,0.04,943799.0,1212943.827363
28715,0.024,0.05,0.033,0.048,0.064,0.041,0.043,0.037,0.055,0.036,0.058,0.053,0.061,0.04,0.038,0.035,0.038,0.045,0.035,0.041,0.035,0.048,0.037,0.04,0.052,0.04,0.04,0.039,0.034,0.046,0.064,0.067,0.042,0.047,1038258.0,1386272.993019
28716,0.022,0.033,0.028,0.049,0.05,0.037,0.043,0.037,0.046,0.04,0.05,0.052,0.05,0.035,0.045,0.034,0.031,0.034,0.032,0.048,0.03,0.043,0.036,0.035,0.049,0.033,0.034,0.035,0.03,0.041,0.05,0.069,0.053,0.044,949433.0,1217048.918378
28717,0.032,0.034,0.039,0.049,0.093,0.045,0.045,0.058,0.049,0.052,0.069,0.055,0.06,0.054,0.061,0.037,0.039,0.064,0.057,0.044,0.041,0.042,0.038,0.035,0.047,0.053,0.049,0.042,0.058,0.045,0.073,0.091,0.054,0.063,1096903.0,1464332.463478
28718,0.025,0.049,0.037,0.048,0.066,0.041,0.048,0.044,0.063,0.042,0.061,0.06,0.052,0.048,0.049,0.042,0.039,0.071,0.042,0.05,0.036,0.052,0.046,0.045,0.039,0.043,0.038,0.041,0.041,0.048,0.063,0.088,0.048,0.064,1112617.0,1491374.402614
28719,0.023,0.029,0.027,0.055,0.051,0.04,0.036,0.032,0.055,0.039,0.053,0.05,0.046,0.033,0.057,0.041,0.035,0.034,0.027,0.048,0.036,0.046,0.035,0.041,0.047,0.04,0.035,0.036,0.031,0.044,0.063,0.058,0.041,0.044,1018825.0,1339549.54036
28720,0.03,0.03,0.028,0.047,0.08,0.046,0.042,0.041,0.054,0.046,0.06,0.057,0.051,0.043,0.051,0.033,0.034,0.035,0.034,0.05,0.032,0.04,0.035,0.037,0.043,0.036,0.034,0.032,0.033,0.043,0.043,0.095,0.047,0.054,1317149.0,1762918.793083
28721,0.034,0.042,0.037,0.035,0.109,0.064,0.038,0.052,0.038,0.042,0.049,0.061,0.051,0.059,0.099,0.046,0.031,0.042,0.036,0.04,0.035,0.034,0.047,0.032,0.047,0.038,0.033,0.036,0.046,0.046,0.053,0.085,0.052,0.059,1110569.0,1358255.867557
28722,0.036,0.034,0.031,0.042,0.038,0.035,0.046,0.041,0.041,0.041,0.053,0.044,0.043,0.042,0.037,0.04,0.035,0.057,0.044,0.037,0.035,0.044,0.042,0.039,0.044,0.047,0.033,0.043,0.034,0.05,0.054,0.063,0.042,0.039,1054824.0,1270989.211492
28723,0.026,0.028,0.027,0.039,0.061,0.037,0.04,0.044,0.045,0.053,0.049,0.049,0.05,0.051,0.035,0.033,0.032,0.042,0.035,0.048,0.036,0.032,0.036,0.035,0.038,0.04,0.03,0.034,0.036,0.041,0.039,0.075,0.042,0.049,1168186.0,1563481.763916
28724,0.067,0.053,0.048,0.058,0.086,0.053,0.069,0.055,0.054,0.055,0.067,0.063,0.058,0.062,0.054,0.049,0.056,0.081,0.058,0.063,0.048,0.062,0.052,0.044,0.061,0.061,0.05,0.045,0.061,0.071,0.077,0.077,0.067,0.058,1039695.0,1998187.848742
28725,0.032,0.031,0.028,0.049,0.092,0.039,0.04,0.042,0.057,0.049,0.055,0.056,0.053,0.043,0.046,0.035,0.034,0.03,0.034,0.054,0.031,0.043,0.034,0.037,0.047,0.032,0.031,0.034,0.039,0.037,0.05,0.068,0.049,0.058,1224678.0,1607537.113805
28726,0.029,0.032,0.025,0.046,0.069,0.04,0.047,0.044,0.044,0.041,0.059,0.049,0.062,0.038,0.054,0.033,0.029,0.041,0.035,0.039,0.028,0.041,0.031,0.032,0.047,0.042,0.035,0.034,0.037,0.035,0.066,0.067,0.056,0.049,1284277.0,1646834.814081
28727,0.037,0.032,0.032,0.05,0.04,0.04,0.04,0.038,0.053,0.043,0.055,0.053,0.05,0.048,0.048,0.042,0.032,0.055,0.04,0.047,0.035,0.045,0.044,0.042,0.044,0.037,0.034,0.043,0.034,0.042,0.055,0.077,0.048,0.052,1129367.0,901536.68097
28728,0.063,0.038,0.041,0.046,0.057,0.046,0.051,0.059,0.051,0.054,0.062,0.053,0.062,0.049,0.063,0.039,0.051,0.056,0.048,0.042,0.043,0.045,0.045,0.044,0.039,0.047,0.042,0.043,0.055,0.044,0.066,0.079,0.063,0.05,1190741.0,1589060.132082
28729,0.022,0.039,0.046,0.05,0.068,0.047,0.045,0.047,0.055,0.04,0.05,0.052,0.055,0.052,0.04,0.039,0.042,0.051,0.045,0.042,0.042,0.039,0.042,0.039,0.037,0.039,0.042,0.035,0.043,0.047,0.058,0.074,0.052,0.052,1147380.0,1511609.978913
28730,0.026,0.027,0.026,0.052,0.044,0.034,0.04,0.04,0.056,0.044,0.051,0.052,0.043,0.041,0.034,0.032,0.032,0.042,0.032,0.046,0.026,0.038,0.028,0.038,0.042,0.033,0.031,0.033,0.034,0.039,0.051,0.063,0.044,0.056,1267702.0,1672365.000754
28731,0.03,0.042,0.037,0.056,0.05,0.045,0.046,0.04,0.045,0.047,0.058,0.054,0.053,0.046,0.044,0.043,0.035,0.037,0.034,0.049,0.035,0.04,0.041,0.039,0.046,0.042,0.038,0.043,0.042,0.041,0.077,0.075,0.041,0.059,1096863.0,1156222.270617
28732,0.029,0.042,0.037,0.052,0.077,0.045,0.048,0.052,0.072,0.049,0.047,0.053,0.053,0.047,0.044,0.036,0.044,0.049,0.042,0.05,0.033,0.057,0.04,0.082,0.047,0.049,0.044,0.039,0.038,0.051,0.065,0.068,0.056,0.042,1114653.0,1457390.638739
28733,0.024,0.03,0.022,0.046,0.047,0.044,0.038,0.044,0.047,0.045,0.048,0.057,0.047,0.04,0.076,0.025,0.027,0.036,0.03,0.043,0.026,0.04,0.027,0.033,0.029,0.033,0.034,0.03,0.037,0.036,0.054,0.071,0.056,0.05,1085977.0,1449553.722033
28741,0.022,0.024,0.026,0.04,0.039,0.031,0.029,0.038,0.039,0.035,0.04,0.04,0.033,0.028,0.02,0.028,0.026,0.04,0.023,0.045,0.031,0.03,0.032,0.03,0.025,0.035,0.032,0.031,0.028,0.029,0.066,0.054,0.033,0.032,1199503.0,1452249.087469
28742,0.021,0.027,0.022,0.042,0.034,0.027,0.021,0.027,0.028,0.033,0.032,0.039,0.031,0.027,0.029,0.022,0.027,0.037,0.029,0.038,0.023,0.023,0.023,0.026,0.026,0.031,0.026,0.025,0.022,0.025,0.05,0.024,0.04,0.036,1158439.0,1304007.288223
28743,0.017,0.032,0.018,0.037,0.028,0.027,0.024,0.027,0.029,0.034,0.04,0.035,0.033,0.024,0.017,0.022,0.024,0.035,0.028,0.037,0.025,0.026,0.024,0.025,0.023,0.032,0.027,0.026,0.023,0.029,0.05,0.043,0.024,0.027,1106072.0,1389302.893771
28744,0.017,0.02,0.025,0.036,0.026,0.034,0.027,0.03,0.031,0.032,0.043,0.038,0.038,0.027,0.024,0.021,0.024,0.042,0.018,0.03,0.022,0.026,0.025,0.027,0.032,0.032,0.028,0.023,0.023,0.025,0.055,0.059,0.027,0.035,1282591.0,1613277.32763
28745,0.028,0.023,0.024,0.05,0.037,0.04,0.037,0.038,0.037,0.047,0.038,0.054,0.031,0.03,0.025,0.031,0.026,0.043,0.029,0.047,0.032,0.031,0.029,0.034,0.035,0.035,0.036,0.038,0.022,0.037,0.063,0.053,0.032,0.037,1166317.0,1503209.271319
28746,0.017,0.034,0.029,0.041,0.04,0.033,0.032,0.031,0.033,0.034,0.045,0.039,0.034,0.029,0.023,0.031,0.026,0.04,0.027,0.039,0.034,0.031,0.032,0.027,0.032,0.032,0.031,0.032,0.025,0.029,0.052,0.055,0.035,0.031,1253796.0,1551854.856737
28747,0.02,0.033,0.029,0.041,0.036,0.03,0.027,0.032,0.032,0.036,0.035,0.039,0.038,0.025,0.022,0.031,0.028,0.03,0.024,0.038,0.027,0.026,0.03,0.025,0.029,0.029,0.028,0.028,0.023,0.026,0.047,0.047,0.026,0.034,1162533.0,1506980.277952
28748,0.022,0.019,0.022,0.035,0.031,0.03,0.026,0.03,0.034,0.035,0.031,0.038,0.03,0.027,0.017,0.026,0.023,0.032,0.024,0.036,0.026,0.028,0.026,0.028,0.028,0.031,0.027,0.026,0.02,0.026,0.04,0.038,0.031,0.03,1233231.0,1648175.017118
28749,0.018,0.023,0.026,0.041,0.033,0.03,0.026,0.035,0.032,0.033,0.038,0.044,0.036,0.028,0.028,0.021,0.022,0.035,0.034,0.038,0.023,0.028,0.029,0.028,0.031,0.031,0.027,0.027,0.021,0.027,0.049,0.037,0.026,0.035,1008060.0,1299113.348902
28750,0.015,0.029,0.023,0.037,0.036,0.026,0.03,0.027,0.028,0.033,0.033,0.038,0.032,0.025,0.019,0.027,0.022,0.036,0.025,0.036,0.027,0.028,0.026,0.026,0.038,0.033,0.033,0.028,0.025,0.03,0.061,0.052,0.036,0.039,1288831.0,1600309.603039
28751,0.02,0.028,0.02,0.037,0.025,0.026,0.022,0.033,0.027,0.031,0.037,0.029,0.026,0.025,0.024,0.025,0.025,0.029,0.02,0.033,0.025,0.028,0.02,0.023,0.028,0.029,0.028,0.026,0.022,0.022,0.066,0.056,0.032,0.028,1227388.0,1456282.691394
28752,0.02,0.031,0.036,0.051,0.059,0.03,0.033,0.032,0.029,0.042,0.041,0.04,0.037,0.033,0.031,0.041,0.035,0.041,0.036,0.038,0.037,0.031,0.037,0.03,0.028,0.041,0.041,0.036,0.025,0.034,0.071,0.054,0.042,0.042,1465956.0,1973602.755966
28753,0.026,0.026,0.032,0.044,0.031,0.032,0.031,0.034,0.035,0.04,0.033,0.039,0.031,0.024,0.027,0.026,0.025,0.037,0.028,0.04,0.031,0.034,0.029,0.03,0.033,0.035,0.032,0.028,0.025,0.028,0.048,0.054,0.041,0.039,1220487.0,1536680.611453
28754,0.017,0.022,0.033,0.048,0.037,0.03,0.033,0.037,0.031,0.04,0.079,0.036,0.031,0.032,0.021,0.033,0.03,0.05,0.041,0.035,0.036,0.03,0.031,0.036,0.042,0.038,0.037,0.035,0.027,0.038,0.071,0.043,0.03,0.038,1239204.0,1642752.440465
28755,0.018,0.021,0.023,0.038,0.031,0.026,0.029,0.022,0.033,0.034,0.035,0.038,0.03,0.028,0.024,0.028,0.029,0.036,0.025,0.042,0.027,0.03,0.027,0.027,0.036,0.031,0.029,0.031,0.023,0.026,0.051,0.05,0.027,0.033,1215231.0,1507420.933141
28756,0.033,0.033,0.039,0.05,0.061,0.042,0.043,0.044,0.05,0.048,0.046,0.055,0.039,0.045,0.038,0.046,0.041,0.057,0.049,0.052,0.042,0.036,0.042,0.039,0.043,0.05,0.044,0.045,0.037,0.044,0.068,0.065,0.052,0.048,1180597.0,1606261.527834
28757,0.014,0.022,0.024,0.042,0.045,0.034,0.029,0.031,0.031,0.031,0.035,0.045,0.037,0.032,0.036,0.024,0.029,0.039,0.031,0.043,0.03,0.029,0.029,0.028,0.041,0.032,0.032,0.028,0.027,0.032,0.058,0.045,0.036,0.046,1155117.0,1453981.023253
28758,0.016,0.022,0.024,0.036,0.034,0.027,0.027,0.026,0.026,0.032,0.037,0.039,0.028,0.027,0.027,0.023,0.023,0.04,0.026,0.032,0.024,0.023,0.025,0.025,0.03,0.03,0.029,0.023,0.022,0.025,0.051,0.043,0.034,0.029,1209205.0,1542737.657757
28759,0.018,0.023,0.028,0.03,0.028,0.03,0.026,0.031,0.024,0.032,0.042,0.034,0.038,0.027,0.04,0.029,0.03,0.037,0.029,0.038,0.031,0.024,0.027,0.024,0.032,0.029,0.031,0.027,0.023,0.026,0.045,0.046,0.027,0.029,1116453.0,1347341.994383
28760,0.018,0.021,0.019,0.037,0.037,0.026,0.026,0.029,0.025,0.035,0.033,0.037,0.032,0.026,0.028,0.027,0.022,0.036,0.023,0.042,0.024,0.027,0.023,0.026,0.034,0.029,0.027,0.025,0.022,0.022,0.058,0.043,0.028,0.025,1317958.0,1775619.251524
28761,0.021,0.033,0.035,0.036,0.053,0.034,0.03,0.04,0.037,0.034,0.048,0.037,0.039,0.034,0.037,0.029,0.032,0.044,0.036,0.037,0.03,0.031,0.034,0.033,0.03,0.041,0.039,0.033,0.032,0.035,0.066,0.046,0.043,0.034,1115641.0,1487698.469655
28762,0.017,0.023,0.027,0.041,0.037,0.027,0.025,0.034,0.025,0.03,0.035,0.04,0.033,0.025,0.025,0.024,0.025,0.036,0.03,0.034,0.025,0.026,0.027,0.027,0.04,0.028,0.03,0.023,0.02,0.026,0.069,0.045,0.03,0.034,1381043.0,1691182.96169
28763,0.021,0.028,0.02,0.039,0.04,0.027,0.026,0.028,0.026,0.029,0.037,0.038,0.034,0.024,0.027,0.022,0.025,0.032,0.024,0.032,0.023,0.03,0.022,0.032,0.034,0.035,0.03,0.023,0.021,0.027,0.029,0.04,0.024,0.026,1050174.0,1278665.608104
28764,0.034,0.044,0.059,0.058,0.081,0.062,0.043,0.054,0.055,0.054,0.069,0.064,0.057,0.06,0.068,0.06,0.061,0.067,0.066,0.054,0.058,0.059,0.056,0.051,0.048,0.063,0.06,0.045,0.062,0.052,0.079,0.087,0.059,0.047,1024884.0,1603274.143
28765,0.019,0.019,0.024,0.031,0.029,0.031,0.028,0.032,0.036,0.037,0.037,0.036,0.035,0.024,0.032,0.028,0.026,0.035,0.027,0.036,0.028,0.024,0.026,0.026,0.033,0.03,0.026,0.029,0.025,0.031,0.043,0.037,0.027,0.033,1153454.0,1512707.12276
28766,0.02,0.031,0.038,0.05,0.052,0.029,0.033,0.038,0.03,0.043,0.042,0.038,0.039,0.027,0.034,0.042,0.034,0.048,0.032,0.041,0.034,0.03,0.036,0.035,0.042,0.045,0.041,0.042,0.027,0.039,0.054,0.049,0.027,0.038,1455921.0,1897717.647114
28767,0.016,0.021,0.027,0.04,0.046,0.027,0.024,0.034,0.025,0.029,0.04,0.031,0.037,0.026,0.025,0.03,0.035,0.044,0.031,0.033,0.028,0.024,0.028,0.026,0.04,0.039,0.035,0.027,0.024,0.029,0.093,0.046,0.024,0.032,1333034.0,1581978.763331
28768,0.02,0.036,0.03,0.034,0.049,0.029,0.031,0.029,0.028,0.034,0.037,0.035,0.039,0.025,0.026,0.029,0.026,0.036,0.036,0.037,0.034,0.027,0.032,0.03,0.037,0.034,0.035,0.031,0.025,0.033,0.042,0.053,0.033,0.036,1301030.0,1674497.593927
