rh.aparc.area,rh_bankssts_area,rh_caudalanteriorcingulate_area,rh_caudalmiddlefrontal_area,rh_cuneus_area,rh_entorhinal_area,rh_fusiform_area,rh_inferiorparietal_area,rh_inferiortemporal_area,rh_isthmuscingulate_area,rh_lateraloccipital_area,rh_lateralorbitofrontal_area,rh_lingual_area,rh_medialorbitofrontal_area,rh_middletemporal_area,rh_parahippocampal_area,rh_paracentral_area,rh_parsopercularis_area,rh_parsorbitalis_area,rh_parstriangularis_area,rh_pericalcarine_area,rh_postcentral_area,rh_posteriorcingulate_area,rh_precentral_area,rh_precuneus_area,rh_rostralanteriorcingulate_area,rh_rostralmiddlefrontal_area,rh_superiorfrontal_area,rh_superiorparietal_area,rh_superiortemporal_area,rh_supramarginal_area,rh_frontalpole_area,rh_temporalpole_area,rh_transversetemporal_area,rh_insula_area,rh_WhiteSurfArea_area,BrainSegVolNotVent,eTIV
28686,1255.0,959.0,3884.0,2100.0,360.0,3103.0,8776.0,3748.0,1084.0,6302.0,3914.0,3736.0,2360.0,4767.0,577.0,1863.0,1641.0,1117.0,1845.0,1612.0,5520.0,1358.0,6767.0,5655.0,626.0,8946.0,10949.0,8722.0,4990.0,4867.0,470.0,490.0,451.0,2445.0,117260.0,1335458.0,1788125.552591
28687,1189.0,592.0,2297.0,1801.0,255.0,2639.0,7244.0,2378.0,1067.0,6534.0,2991.0,4189.0,1965.0,3643.0,676.0,1709.0,1282.0,892.0,1354.0,1901.0,3892.0,1183.0,5112.0,4859.0,520.0,6563.0,7136.0,5970.0,4184.0,3913.0,416.0,364.0,296.0,2210.0,93219.1,1181876.0,1559027.632364
28688,1167.0,667.0,2633.0,1928.0,496.0,3624.0,6026.0,4504.0,1275.0,5887.0,3518.0,3561.0,1956.0,5012.0,672.0,1726.0,1692.0,892.0,1619.0,1669.0,4983.0,1235.0,5568.0,4546.0,587.0,7056.0,8853.0,5998.0,4669.0,6081.0,358.0,640.0,436.0,2797.0,104329.0,1334612.0,1706529.901474
28690,1554.0,1105.0,2743.0,1767.0,206.0,3452.0,9650.0,3768.0,1260.0,6399.0,2624.0,3241.0,2030.0,4967.0,820.0,1352.0,1970.0,1087.0,2319.0,1824.0,5448.0,1306.0,5961.0,4445.0,707.0,7862.0,7544.0,6224.0,5205.0,5174.0,389.0,311.0,409.0,2298.0,107419.0,1240485.0,1612319.450459
28691,1332.0,928.0,1943.0,1850.0,289.0,2934.0,8164.0,4303.0,1013.0,5688.0,3314.0,3947.0,1981.0,5079.0,708.0,1335.0,1194.0,1132.0,1583.0,1804.0,4030.0,1446.0,4362.0,4058.0,524.0,8308.0,7133.0,5175.0,4745.0,4068.0,446.0,342.0,350.0,2349.0,97855.8,1195487.0,1623488.210408
28692,817.0,928.0,2183.0,1831.0,360.0,3639.0,7548.0,3543.0,965.0,6159.0,2922.0,3857.0,2445.0,4552.0,732.0,1139.0,1847.0,1129.0,1840.0,1863.0,3126.0,1250.0,3763.0,2956.0,709.0,7307.0,7899.0,5707.0,5068.0,2940.0,444.0,568.0,301.0,2097.0,94432.0,1151732.0,1510541.372515
28693,635.0,561.0,2158.0,1176.0,452.0,2239.0,4649.0,3267.0,958.0,4793.0,2265.0,2019.0,2049.0,3354.0,513.0,964.0,1863.0,800.0,1282.0,889.0,4229.0,734.0,4816.0,2699.0,487.0,5442.0,5628.0,4595.0,3948.0,3472.0,408.0,543.0,388.0,1784.0,76057.7,920658.0,1373065.167184
28694,936.0,582.0,2445.0,1656.0,331.0,2794.0,6876.0,4075.0,956.0,6105.0,3038.0,2903.0,1562.0,4723.0,697.0,1539.0,1640.0,906.0,1661.0,1322.0,4462.0,1137.0,4923.0,4591.0,543.0,6461.0,7557.0,6626.0,4161.0,4355.0,353.0,540.0,365.0,2375.0,95199.9,1195332.0,1641979.967402
28695,995.0,730.0,2192.0,1469.0,376.0,3757.0,6315.0,4143.0,1113.0,4691.0,2606.0,2995.0,1749.0,4675.0,641.0,1733.0,1238.0,1035.0,2524.0,1078.0,4166.0,1313.0,5507.0,4744.0,607.0,8154.0,8395.0,4841.0,5638.0,4643.0,346.0,605.0,437.0,2563.0,98013.0,1197988.0,1569602.799874
28696,1080.0,840.0,3364.0,1690.0,310.0,2836.0,7815.0,3251.0,1093.0,7515.0,2066.0,3027.0,1595.0,4156.0,747.0,1651.0,1379.0,941.0,1702.0,1510.0,5067.0,1173.0,5534.0,4149.0,513.0,7945.0,8042.0,6443.0,4211.0,4183.0,355.0,186.0,425.0,1888.0,98679.9,1116165.0,1464651.774344
28697,1271.0,665.0,2718.0,1619.0,415.0,3344.0,8263.0,4287.0,979.0,5933.0,3502.0,2929.0,2307.0,4849.0,481.0,1440.0,1626.0,1101.0,2165.0,1261.0,4632.0,1065.0,5610.0,4697.0,519.0,7954.0,8451.0,6904.0,4661.0,5124.0,407.0,598.0,322.0,2376.0,104475.0,1203425.0,1064500.287294
28698,1063.0,904.0,2137.0,1622.0,417.0,3299.0,5516.0,4036.0,1442.0,5280.0,3702.0,3297.0,2104.0,4591.0,641.0,1721.0,1350.0,1225.0,1518.0,1368.0,4676.0,1315.0,6398.0,4571.0,729.0,7387.0,7522.0,5559.0,4967.0,3058.0,351.0,532.0,374.0,2829.0,97501.1,1214472.0,1741833.129001
28699,1181.0,856.0,2514.0,1697.0,307.0,3130.0,7453.0,4560.0,1103.0,5336.0,3243.0,3268.0,2063.0,5375.0,698.0,1575.0,1253.0,941.0,1506.0,1753.0,5019.0,1358.0,4852.0,4468.0,664.0,7175.0,7157.0,5998.0,4400.0,3874.0,407.0,425.0,302.0,2496.0,98403.0,1185186.0,1528514.529953
28700,1130.0,482.0,2150.0,1601.0,298.0,2351.0,7031.0,2596.0,763.0,5461.0,2745.0,2757.0,1741.0,3700.0,542.0,1265.0,1164.0,758.0,1196.0,1308.0,3491.0,921.0,4467.0,3540.0,494.0,5474.0,6007.0,5778.0,3989.0,4147.0,307.0,529.0,286.0,1697.0,82166.5,981788.0,1235123.465615
28701,1249.0,995.0,3549.0,1721.0,669.0,3599.0,6952.0,4452.0,1081.0,5166.0,3361.0,3616.0,2166.0,4464.0,635.0,1685.0,1719.0,1095.0,1807.0,1347.0,4815.0,1453.0,7012.0,4730.0,674.0,7667.0,7560.0,6037.0,4353.0,4778.0,406.0,669.0,375.0,2174.0,104030.0,1303898.0,1757915.923551
28702,1176.0,736.0,1673.0,992.0,262.0,2642.0,6842.0,2757.0,999.0,4765.0,2052.0,3401.0,1560.0,3770.0,617.0,1581.0,1665.0,875.0,2623.0,1507.0,3439.0,1241.0,4897.0,4612.0,471.0,8441.0,7946.0,5205.0,3834.0,3366.0,337.0,296.0,317.0,1825.0,88721.2,1111560.0,2167270.02255
28703,1199.0,553.0,2075.0,1546.0,220.0,2398.0,5158.0,3360.0,912.0,4881.0,2734.0,2505.0,1850.0,3869.0,640.0,1406.0,1209.0,889.0,1521.0,1355.0,4008.0,980.0,5159.0,3752.0,444.0,6819.0,6644.0,4633.0,4196.0,3139.0,265.0,424.0,374.0,1873.0,82991.9,990039.0,1330419.795296
28704,1300.0,704.0,2493.0,1618.0,451.0,2831.0,8432.0,3313.0,1038.0,5960.0,2333.0,3083.0,2109.0,3963.0,663.0,1394.0,1681.0,965.0,1813.0,1400.0,4252.0,1053.0,4944.0,5028.0,449.0,7622.0,6857.0,6666.0,4093.0,5481.0,437.0,405.0,329.0,1965.0,97127.0,1102515.0,1370500.178375
28705,1036.0,731.0,2775.0,2090.0,338.0,3412.0,6804.0,3152.0,935.0,6061.0,2662.0,3767.0,2200.0,4177.0,704.0,1740.0,1417.0,1045.0,2016.0,1949.0,4399.0,1494.0,5659.0,5196.0,756.0,8542.0,9103.0,7570.0,5185.0,5237.0,382.0,486.0,338.0,2321.0,105680.0,1258343.0,1561910.774638
28706,1315.0,594.0,2307.0,1517.0,226.0,3245.0,6360.0,3133.0,860.0,4930.0,2168.0,3307.0,1421.0,3676.0,622.0,1495.0,1411.0,763.0,1524.0,1416.0,3580.0,1106.0,4776.0,4083.0,350.0,6717.0,7124.0,4817.0,4025.0,3391.0,312.0,434.0,337.0,2345.0,85686.5,1033841.0,919566.184897
28707,1086.0,615.0,2836.0,1784.0,466.0,2847.0,6987.0,3679.0,1152.0,6153.0,2815.0,3552.0,1685.0,3966.0,1115.0,1504.0,1620.0,1061.0,1878.0,1926.0,4217.0,1088.0,5180.0,4319.0,439.0,5537.0,7878.0,6483.0,4178.0,4555.0,417.0,612.0,324.0,1934.0,95888.2,1086677.0,1383716.812345
28708,982.0,861.0,2118.0,1470.0,260.0,2462.0,6440.0,2742.0,837.0,5245.0,2360.0,2962.0,1614.0,3276.0,548.0,1488.0,1510.0,879.0,1762.0,1175.0,3874.0,1195.0,5062.0,3286.0,438.0,6939.0,6724.0,5445.0,3419.0,3646.0,372.0,398.0,363.0,1884.0,84037.2,973026.0,1092590.76653
28709,1051.0,552.0,3276.0,1875.0,207.0,3151.0,7652.0,4040.0,1091.0,7025.0,2848.0,2302.0,1892.0,4038.0,624.0,1559.0,1606.0,1093.0,2207.0,1433.0,4752.0,1058.0,5868.0,4586.0,466.0,7490.0,9229.0,7430.0,4058.0,5579.0,422.0,182.0,373.0,1528.0,102542.0,1122881.0,1556609.581396
28710,1151.0,658.0,1952.0,1532.0,370.0,2836.0,7753.0,2930.0,813.0,5226.0,2055.0,3007.0,1681.0,4344.0,518.0,1506.0,1481.0,931.0,2357.0,1483.0,3511.0,1156.0,4500.0,3244.0,412.0,8407.0,7436.0,5163.0,3964.0,3559.0,414.0,453.0,362.0,1834.0,88998.2,998542.0,1926356.603642
28711,1044.0,616.0,1672.0,600.0,199.0,2400.0,4312.0,2751.0,472.0,2614.0,2054.0,1640.0,1264.0,3373.0,461.0,1367.0,1231.0,702.0,1362.0,528.0,3877.0,873.0,3965.0,2062.0,366.0,5803.0,6534.0,4019.0,3480.0,5710.0,284.0,364.0,292.0,1741.0,70032.4,914916.0,1264334.982976
28713,1312.0,737.0,2935.0,1504.0,399.0,3012.0,8497.0,4411.0,1013.0,6003.0,3724.0,2331.0,2104.0,4979.0,601.0,1646.0,2084.0,1285.0,2636.0,1157.0,4966.0,1139.0,4833.0,3368.0,593.0,9248.0,8301.0,6979.0,4398.0,4567.0,436.0,616.0,387.0,1970.0,104174.0,1156106.0,1468385.932236
28714,1144.0,510.0,2253.0,1576.0,269.0,1845.0,4801.0,2090.0,769.0,4272.0,2173.0,3128.0,1416.0,3581.0,474.0,1377.0,1412.0,943.0,1963.0,1591.0,4012.0,1098.0,4765.0,3371.0,304.0,7925.0,8030.0,4616.0,4352.0,4278.0,321.0,367.0,394.0,1771.0,83191.6,943799.0,1212943.827363
28715,1236.0,757.0,2391.0,1698.0,239.0,2747.0,6417.0,3123.0,1038.0,5562.0,2830.0,3487.0,1892.0,4177.0,600.0,1443.0,1441.0,925.0,1936.0,1545.0,3978.0,1295.0,4859.0,4408.0,575.0,6985.0,6261.0,6198.0,4214.0,4051.0,307.0,383.0,417.0,2174.0,91589.0,1038258.0,1386272.993019
28716,969.0,658.0,1997.0,1650.0,220.0,2155.0,5837.0,2362.0,900.0,4897.0,2291.0,3155.0,1536.0,2980.0,507.0,1423.0,1095.0,843.0,1503.0,1525.0,3283.0,1234.0,4648.0,3647.0,477.0,6378.0,6986.0,5421.0,3859.0,3906.0,375.0,157.0,316.0,1815.0,81004.7,949433.0,1217048.918378
28717,1046.0,628.0,2527.0,1690.0,270.0,2514.0,8094.0,3486.0,917.0,6812.0,2351.0,3232.0,1893.0,4706.0,740.0,1261.0,1465.0,826.0,2027.0,1404.0,4413.0,1121.0,4881.0,3414.0,515.0,7133.0,7671.0,5801.0,4385.0,4077.0,432.0,414.0,409.0,2510.0,95065.5,1096903.0,1464332.463478
28718,1051.0,593.0,2413.0,1501.0,252.0,3085.0,7018.0,3737.0,1116.0,5896.0,3223.0,3299.0,1953.0,4461.0,659.0,1426.0,1649.0,1060.0,1422.0,1227.0,4465.0,1310.0,5755.0,4581.0,575.0,7326.0,8687.0,7000.0,4930.0,4691.0,404.0,493.0,453.0,2401.0,100113.0,1112617.0,1491374.402614
28719,876.0,774.0,3043.0,1711.0,367.0,2403.0,6079.0,2580.0,994.0,5280.0,2915.0,3360.0,1706.0,3554.0,643.0,1523.0,1660.0,765.0,1654.0,1798.0,4813.0,1094.0,5380.0,4226.0,639.0,7257.0,8472.0,5568.0,3683.0,4279.0,348.0,548.0,367.0,2075.0,92434.1,1018825.0,1339549.54036
28720,1524.0,852.0,2412.0,2187.0,450.0,3334.0,7644.0,3206.0,1159.0,6724.0,2942.0,4204.0,1930.0,4235.0,766.0,1413.0,1613.0,997.0,2201.0,1933.0,3789.0,1364.0,5386.0,4669.0,637.0,7964.0,8877.0,5357.0,4903.0,4135.0,416.0,492.0,416.0,2444.0,102576.0,1317149.0,1762918.793083
28721,1277.0,875.0,3975.0,1198.0,158.0,3126.0,7488.0,3245.0,605.0,8050.0,3163.0,2477.0,2134.0,4368.0,71.0,1461.0,1810.0,971.0,1701.0,1389.0,4767.0,1079.0,6426.0,2216.0,678.0,6359.0,9240.0,5456.0,4454.0,4871.0,350.0,204.0,422.0,2112.0,98175.6,1110569.0,1358255.867557
28722,1244.0,919.0,2138.0,1575.0,314.0,3110.0,7900.0,3206.0,901.0,5040.0,2537.0,2692.0,1563.0,4322.0,661.0,1501.0,1367.0,927.0,1739.0,1101.0,3919.0,1594.0,5341.0,3800.0,571.0,5465.0,7235.0,5423.0,4244.0,4933.0,293.0,451.0,317.0,1871.0,90213.9,1054824.0,1270989.211492
28723,761.0,861.0,2850.0,1519.0,414.0,3631.0,2826.0,4023.0,1324.0,6638.0,2460.0,4016.0,1817.0,4635.0,817.0,1478.0,1637.0,880.0,1779.0,1902.0,4572.0,1449.0,5223.0,4240.0,569.0,6081.0,6845.0,4919.0,3593.0,3115.0,308.0,479.0,298.0,2206.0,90167.7,1168186.0,1563481.763916
28724,1257.0,735.0,2582.0,2112.0,263.0,2893.0,6892.0,3100.0,935.0,6073.0,2419.0,3154.0,1649.0,4405.0,515.0,1364.0,1419.0,987.0,1948.0,2049.0,3484.0,1182.0,6010.0,4082.0,514.0,7978.0,6782.0,6193.0,4642.0,3038.0,416.0,482.0,376.0,1709.0,93638.5,1039695.0,1998187.848742
28725,1493.0,991.0,2341.0,1983.0,204.0,2522.0,7414.0,3223.0,998.0,6372.0,2655.0,2584.0,1870.0,4424.0,678.0,1742.0,1211.0,1007.0,1945.0,1442.0,4815.0,1419.0,6126.0,4683.0,666.0,7032.0,8279.0,6843.0,5151.0,5770.0,366.0,240.0,404.0,2827.0,101721.0,1224678.0,1607537.113805
28726,1082.0,817.0,2065.0,1712.0,256.0,3044.0,8634.0,3368.0,1019.0,7234.0,3559.0,4710.0,2017.0,3905.0,589.0,1389.0,1920.0,1072.0,2071.0,1724.0,4010.0,1100.0,4782.0,3669.0,659.0,8316.0,7881.0,5786.0,4280.0,3374.0,497.0,581.0,346.0,2199.0,99665.4,1284277.0,1646834.814081
28727,1138.0,581.0,2084.0,1781.0,411.0,3160.0,8590.0,3566.0,1018.0,6622.0,3220.0,2554.0,1903.0,4792.0,774.0,1692.0,1544.0,863.0,1708.0,1490.0,4502.0,1188.0,5650.0,4063.0,552.0,6894.0,7718.0,7892.0,4801.0,4284.0,348.0,380.0,393.0,1961.0,100117.0,1129367.0,901536.68097
28728,1254.0,657.0,3588.0,1816.0,264.0,2957.0,8229.0,4366.0,1047.0,5999.0,2368.0,3173.0,1688.0,4041.0,696.0,1722.0,2043.0,1044.0,1824.0,1735.0,5986.0,1088.0,6903.0,4159.0,486.0,6834.0,9531.0,6944.0,4874.0,4826.0,398.0,269.0,484.0,2306.0,105603.0,1190741.0,1589060.132082
28729,1157.0,896.0,2635.0,2049.0,295.0,2858.0,6819.0,3604.0,952.0,6001.0,2977.0,3106.0,1863.0,4547.0,677.0,1294.0,2028.0,1019.0,2173.0,1954.0,3025.0,1163.0,4597.0,3378.0,540.0,8768.0,8967.0,4919.0,4539.0,3406.0,386.0,545.0,393.0,2153.0,95682.9,1147380.0,1511609.978913
28730,1123.0,867.0,2751.0,1898.0,219.0,3690.0,9431.0,4047.0,1054.0,6658.0,2638.0,3508.0,1880.0,4978.0,673.0,1371.0,1391.0,1048.0,1710.0,1921.0,4181.0,1304.0,4885.0,4077.0,658.0,7867.0,8979.0,5862.0,4041.0,4705.0,324.0,326.0,378.0,2583.0,103028.0,1267702.0,1672365.000754
28731,1119.0,765.0,2025.0,1785.0,316.0,2625.0,7246.0,3404.0,952.0,5651.0,2723.0,3416.0,1816.0,4134.0,610.0,1575.0,1476.0,793.0,1568.0,1451.0,4104.0,1074.0,5228.0,3769.0,654.0,6611.0,6583.0,5949.0,4388.0,3596.0,339.0,510.0,342.0,2058.0,90656.9,1096863.0,1156222.270617
28732,798.0,800.0,2596.0,1881.0,358.0,2974.0,7670.0,3557.0,895.0,5447.0,2543.0,2961.0,1962.0,3275.0,436.0,1538.0,1432.0,868.0,1593.0,1523.0,4334.0,1062.0,5460.0,3814.0,624.0,7360.0,8580.0,6483.0,3809.0,4622.0,351.0,492.0,325.0,2007.0,94430.6,1114653.0,1457390.638739
28733,1156.0,663.0,2123.0,2202.0,466.0,2803.0,7839.0,3356.0,947.0,5895.0,3261.0,3396.0,2053.0,4049.0,846.0,1459.0,1748.0,898.0,1851.0,1994.0,3940.0,988.0,4378.0,4426.0,624.0,5690.0,7518.0,5909.0,4834.0,3992.0,398.0,718.0,434.0,1643.0,94495.4,1085977.0,1449553.722033
28741,1124.0,784.0,2632.0,1737.0,367.0,3518.0,7271.0,3720.0,1268.0,5672.0,3207.0,3832.0,2426.0,4785.0,689.0,1548.0,1470.0,1093.0,2178.0,1705.0,4939.0,1383.0,5363.0,4448.0,760.0,7994.0,7818.0,5527.0,4379.0,4297.0,357.0,516.0,376.0,2249.0,101433.0,1199503.0,1452249.087469
28742,798.0,711.0,2144.0,1752.0,436.0,3372.0,5354.0,3789.0,1010.0,5897.0,2559.0,3226.0,1964.0,3617.0,574.0,1613.0,1186.0,814.0,1493.0,1615.0,4199.0,1242.0,4755.0,4441.0,547.0,5761.0,7556.0,5331.0,3611.0,3745.0,299.0,474.0,374.0,2468.0,88726.0,1158439.0,1304007.288223
28743,985.0,841.0,2075.0,1573.0,328.0,3119.0,6040.0,2917.0,747.0,4863.0,2590.0,2624.0,2100.0,3592.0,569.0,1304.0,1480.0,755.0,1907.0,1442.0,3741.0,1115.0,4757.0,3405.0,545.0,6027.0,6032.0,5084.0,3980.0,2970.0,381.0,476.0,314.0,1964.0,82638.2,1106072.0,1389302.893771
28744,902.0,769.0,3115.0,2083.0,371.0,3722.0,6251.0,3942.0,1128.0,5703.0,3078.0,3914.0,2380.0,4018.0,688.0,1576.0,1619.0,899.0,1198.0,1994.0,4952.0,1431.0,6248.0,5164.0,873.0,7081.0,8813.0,5663.0,4646.0,4738.0,466.0,434.0,414.0,2023.0,102297.0,1282591.0,1613277.32763
28745,935.0,639.0,2249.0,1710.0,290.0,2909.0,5483.0,3629.0,1047.0,4923.0,2740.0,3334.0,1818.0,3962.0,716.0,1678.0,1403.0,844.0,1773.0,1684.0,3943.0,1238.0,4957.0,3561.0,474.0,6060.0,7278.0,5401.0,4170.0,3811.0,317.0,552.0,486.0,2386.0,88402.0,1166317.0,1503209.271319
28746,956.0,1029.0,2067.0,1732.0,316.0,3567.0,6448.0,3556.0,1139.0,5627.0,3403.0,2995.0,1864.0,4404.0,743.0,1851.0,1138.0,1125.0,1607.0,1711.0,5848.0,1729.0,5689.0,5089.0,725.0,6823.0,7310.0,6422.0,4989.0,4524.0,326.0,553.0,402.0,2087.0,99794.3,1253796.0,1551854.856737
28747,1331.0,905.0,1954.0,1554.0,467.0,3603.0,5953.0,3911.0,929.0,5202.0,3382.0,3232.0,2391.0,4444.0,674.0,1428.0,1307.0,1134.0,2254.0,1456.0,3135.0,1298.0,4883.0,3147.0,545.0,8936.0,9188.0,4076.0,4457.0,3635.0,409.0,518.0,390.0,2379.0,94507.4,1162533.0,1506980.277952
28748,947.0,1087.0,2213.0,1883.0,409.0,3670.0,6654.0,4116.0,982.0,6044.0,3276.0,3662.0,2365.0,4374.0,684.0,1823.0,1731.0,955.0,1810.0,1813.0,4427.0,1449.0,5372.0,4427.0,907.0,6598.0,8393.0,6446.0,4012.0,3875.0,403.0,547.0,363.0,2692.0,100406.0,1233231.0,1648175.017118
28749,887.0,559.0,2508.0,1692.0,391.0,3059.0,4711.0,3142.0,956.0,4830.0,2691.0,3131.0,1975.0,3228.0,542.0,1268.0,1364.0,776.0,1568.0,1787.0,4074.0,1238.0,5028.0,3568.0,590.0,5677.0,6655.0,4889.0,3720.0,3685.0,331.0,422.0,326.0,2213.0,83481.3,1008060.0,1299113.348902
28750,1088.0,1085.0,2819.0,1949.0,350.0,3400.0,6162.0,3788.0,985.0,5562.0,2898.0,3118.0,2407.0,4245.0,610.0,1842.0,1740.0,868.0,2246.0,1606.0,4487.0,1819.0,5175.0,4838.0,843.0,7272.0,8471.0,7121.0,4384.0,4074.0,433.0,442.0,412.0,2666.0,101206.0,1288831.0,1600309.603039
28751,1097.0,883.0,2544.0,1742.0,491.0,3113.0,4583.0,3547.0,1087.0,5297.0,2936.0,2479.0,2073.0,3647.0,512.0,1800.0,1359.0,887.0,1865.0,1371.0,4923.0,1466.0,5331.0,4945.0,714.0,7016.0,8402.0,5880.0,4022.0,4572.0,353.0,429.0,448.0,2062.0,93877.6,1227388.0,1456282.691394
28752,1412.0,865.0,2716.0,2000.0,581.0,3997.0,6647.0,4350.0,1310.0,7634.0,3333.0,4255.0,2302.0,5218.0,723.0,2209.0,2027.0,1100.0,2196.0,2165.0,5575.0,1575.0,6188.0,4210.0,564.0,6598.0,8186.0,5481.0,4852.0,4742.0,372.0,628.0,450.0,2710.0,109171.0,1465956.0,1973602.755966
28753,1424.0,982.0,2908.0,1955.0,497.0,3431.0,5888.0,3844.0,936.0,5425.0,3131.0,3899.0,2420.0,3750.0,687.0,1898.0,1558.0,1090.0,1921.0,1853.0,3951.0,1476.0,8370.0,3480.0,753.0,6642.0,8584.0,4458.0,4187.0,3193.0,377.0,543.0,325.0,2701.0,98534.0,1220487.0,1536680.611453
28754,1111.0,852.0,2271.0,2004.0,392.0,2871.0,7969.0,2996.0,1100.0,5754.0,2655.0,3808.0,1963.0,4075.0,685.0,1846.0,1634.0,974.0,2073.0,1862.0,5038.0,1391.0,5205.0,5295.0,735.0,6315.0,7572.0,7429.0,4427.0,4909.0,363.0,436.0,342.0,2473.0,100823.0,1239204.0,1642752.440465
28755,954.0,733.0,3180.0,1822.0,345.0,3491.0,5779.0,2904.0,977.0,5813.0,3085.0,4409.0,2304.0,3420.0,770.0,1622.0,1431.0,919.0,1541.0,1864.0,4550.0,1327.0,5191.0,3995.0,611.0,7253.0,8124.0,5335.0,4219.0,4638.0,373.0,593.0,338.0,2230.0,96140.3,1215231.0,1507420.933141
