rh.aparc.curvind,rh_bankssts_curvind,rh_caudalanteriorcingulate_curvind,rh_caudalmiddlefrontal_curvind,rh_cuneus_curvind,rh_entorhinal_curvind,rh_fusiform_curvind,rh_inferiorparietal_curvind,rh_inferiortemporal_curvind,rh_isthmuscingulate_curvind,rh_lateraloccipital_curvind,rh_lateralorbitofrontal_curvind,rh_lingual_curvind,rh_medialorbitofrontal_curvind,rh_middletemporal_curvind,rh_parahippocampal_curvind,rh_paracentral_curvind,rh_parsopercularis_curvind,rh_parsorbitalis_curvind,rh_parstriangularis_curvind,rh_pericalcarine_curvind,rh_postcentral_curvind,rh_posteriorcingulate_curvind,rh_precentral_curvind,rh_precuneus_curvind,rh_rostralanteriorcingulate_curvind,rh_rostralmiddlefrontal_curvind,rh_superiorfrontal_curvind,rh_superiorparietal_curvind,rh_superiortemporal_curvind,rh_supramarginal_curvind,rh_frontalpole_curvind,rh_temporalpole_curvind,rh_transversetemporal_curvind,rh_insula_curvind,BrainSegVolNotVent,eTIV
28686,3.0,1.8,9.2,6.1,1.4,7.7,30.1,9.6,2.9,16.5,13.9,9.7,6.6,12.9,1.8,4.8,3.9,3.6,3.8,3.5,13.2,3.2,21.3,14.5,1.8,28.1,28.9,25.4,14.2,14.2,1.6,2.1,1.2,8.5,1335458.0,1788125.552591
28687,1.9,1.1,4.2,5.1,1.1,7.2,21.5,6.1,2.5,16.2,11.4,11.7,6.1,9.8,2.1,3.6,2.8,2.0,2.4,6.2,8.6,2.9,10.7,12.0,1.2,11.5,12.7,12.9,8.5,11.3,1.4,1.7,0.8,6.4,1181876.0,1559027.632364
28688,2.2,1.1,4.2,5.1,1.6,7.8,14.5,10.5,2.8,17.2,10.0,10.0,4.1,12.7,1.7,3.1,2.7,1.6,2.4,4.8,9.8,2.4,11.4,9.5,1.1,14.4,14.6,11.1,8.4,16.7,0.6,2.1,0.9,7.4,1334612.0,1706529.901474
28690,2.7,2.0,6.3,4.8,0.7,8.3,27.8,11.3,3.7,16.9,7.5,9.7,5.2,14.4,2.2,3.3,4.5,2.5,5.9,5.2,13.8,2.7,16.7,10.6,1.3,20.7,16.5,13.8,14.1,13.9,1.2,1.0,1.2,6.8,1240485.0,1612319.450459
28691,2.8,1.7,3.1,5.4,1.0,7.4,19.1,12.9,2.5,16.4,10.5,11.2,5.8,15.9,1.8,2.7,2.1,2.6,2.7,5.2,7.3,3.1,7.8,9.1,1.1,16.1,12.8,10.7,12.5,9.7,1.3,0.8,0.8,7.1,1195487.0,1623488.210408
28692,2.5,1.9,4.0,4.7,1.1,8.9,22.4,8.9,3.5,14.9,7.7,10.5,7.7,13.0,1.7,3.2,3.7,1.8,3.5,4.8,12.5,3.0,10.5,11.9,1.7,14.3,17.4,15.4,14.1,13.9,1.1,2.4,0.5,7.2,1151732.0,1510541.372515
28693,2.2,2.0,6.0,4.9,2.7,9.9,21.3,14.6,4.6,22.3,9.8,7.5,7.1,13.4,2.1,3.0,6.8,3.4,4.3,3.0,14.8,2.5,19.1,9.6,1.5,19.5,18.0,16.5,16.0,11.4,2.4,2.5,1.6,6.4,920658.0,1373065.167184
28694,1.6,1.0,4.2,4.8,0.9,6.9,20.3,11.1,2.5,16.2,12.9,9.2,4.5,14.3,2.0,3.2,3.4,2.4,3.4,4.1,9.9,2.4,12.5,11.0,1.2,15.9,15.4,15.3,10.6,13.7,0.9,2.1,1.4,7.7,1195332.0,1641979.967402
28695,2.4,1.5,3.6,3.9,1.2,9.0,20.8,10.6,3.3,13.7,7.1,8.8,4.6,12.7,1.3,3.4,2.6,2.9,6.9,2.7,9.3,2.5,12.9,9.7,1.7,22.7,19.8,11.3,12.2,11.6,1.2,1.7,0.9,9.3,1197988.0,1569602.799874
28696,3.9,1.8,9.6,4.5,1.5,8.2,32.1,11.5,3.5,25.9,8.2,9.1,5.9,12.8,2.2,4.0,3.1,3.3,4.6,4.5,14.5,2.6,16.9,10.5,1.2,22.2,20.4,19.1,10.7,13.1,1.4,0.6,1.2,6.3,1116165.0,1464651.774344
28697,2.5,1.0,4.3,5.1,0.9,7.6,18.2,12.0,2.9,14.2,10.9,8.6,8.0,14.9,1.4,2.9,3.2,2.3,5.7,3.4,11.7,2.5,12.4,9.7,1.0,16.3,16.9,12.1,10.5,13.8,1.0,2.0,0.9,7.4,1203425.0,1064500.287294
28698,2.2,1.4,5.0,3.6,1.4,7.9,13.5,10.1,3.7,13.6,9.3,8.9,5.3,11.2,1.3,3.4,2.3,3.6,3.6,3.5,10.5,2.5,14.8,8.8,1.1,17.9,12.6,10.6,15.2,8.0,1.0,1.5,1.4,8.3,1214472.0,1741833.129001
28699,1.7,1.6,4.1,3.7,0.9,7.1,18.7,12.3,2.2,12.8,8.9,8.0,5.2,15.4,1.4,2.9,2.1,1.7,2.4,4.6,9.5,2.7,9.8,8.8,1.4,14.2,14.3,13.5,9.6,11.0,1.1,1.1,0.7,6.2,1185186.0,1528514.529953
28700,1.9,0.9,3.6,4.6,0.7,5.6,21.1,6.6,2.1,13.6,8.6,7.9,5.2,9.7,1.1,2.4,2.2,1.5,2.4,4.1,6.8,2.8,10.3,8.2,1.3,14.1,11.9,12.4,10.8,12.7,0.7,1.6,0.7,5.7,981788.0,1235123.465615
28701,1.4,1.7,6.2,4.4,2.2,7.0,15.8,7.9,2.0,15.4,8.6,10.0,4.7,7.6,1.1,3.1,2.9,1.8,2.6,4.1,8.0,2.8,11.7,8.3,1.4,14.8,13.4,11.9,7.2,10.6,1.0,1.5,0.6,4.8,1303898.0,1757915.923551
28702,1.8,1.3,5.1,3.0,0.9,6.7,20.5,8.0,2.4,12.4,6.8,10.3,5.0,9.3,1.5,2.9,3.7,2.7,5.7,3.5,8.1,2.6,11.9,12.1,1.0,18.7,18.2,13.6,9.9,10.7,1.1,1.2,0.7,5.7,1111560.0,2167270.02255
28703,4.2,1.1,4.7,4.0,0.8,5.8,21.8,10.1,2.8,17.1,8.7,8.1,5.7,12.9,1.5,3.6,2.6,1.9,2.8,4.2,11.7,2.4,15.4,7.9,1.3,20.6,15.8,11.9,11.7,11.8,1.1,1.5,1.1,7.0,990039.0,1330419.795296
28704,3.5,1.4,4.6,4.2,1.8,6.7,28.6,12.2,3.1,17.5,6.3,10.4,6.8,9.5,2.1,3.2,3.7,2.9,3.6,4.4,10.5,2.6,11.6,12.3,1.0,22.3,14.6,18.0,9.7,17.3,1.4,1.0,0.7,6.0,1102515.0,1370500.178375
28705,1.5,1.3,4.6,5.2,1.1,8.0,19.3,6.8,2.2,14.8,7.4,9.9,5.8,8.7,1.1,3.4,2.7,2.0,4.7,5.0,7.9,3.2,10.0,9.9,1.7,17.4,16.1,19.4,13.2,10.9,0.8,1.5,0.7,5.7,1258343.0,1561910.774638
28706,2.7,1.1,5.1,4.2,1.1,7.0,14.3,6.9,1.8,17.3,6.8,8.9,5.5,7.6,2.0,3.3,4.0,2.5,4.3,3.1,7.6,2.4,11.6,7.9,0.6,19.8,19.0,10.3,10.3,6.5,1.1,2.0,0.7,7.4,1033841.0,919566.184897
28707,1.8,1.1,4.8,4.3,1.3,7.0,21.5,9.4,2.7,17.0,8.4,11.5,4.5,10.5,3.4,2.4,3.0,2.0,2.8,5.2,9.0,2.2,9.4,9.7,0.8,9.9,13.4,12.6,9.3,11.7,1.3,2.3,0.9,5.4,1086677.0,1383716.812345
28708,1.7,1.9,3.9,3.6,0.8,5.8,18.1,7.4,2.1,10.5,5.9,7.5,5.6,7.6,0.8,3.4,2.4,1.6,3.0,3.0,7.7,2.7,10.3,6.5,0.9,12.8,13.3,10.9,6.5,9.3,1.0,1.6,0.7,4.4,973026.0,1092590.76653
28709,2.6,1.0,7.0,6.3,1.2,8.2,23.6,12.6,2.9,20.4,11.0,7.4,5.3,11.0,1.6,3.5,3.2,2.5,4.5,4.1,10.6,2.4,14.1,10.4,0.9,15.7,19.6,19.5,10.8,14.4,1.7,0.7,0.9,4.3,1122881.0,1556609.581396
28710,4.6,1.5,7.2,5.0,1.0,7.0,23.7,7.7,2.1,14.1,5.8,8.7,6.0,14.1,1.4,4.6,3.3,2.6,4.6,4.9,10.7,3.1,12.2,8.2,1.1,20.6,19.8,15.2,9.5,10.7,2.0,1.9,0.7,5.1,998542.0,1926356.603642
28711,2.1,1.2,3.7,1.3,0.5,5.7,11.6,6.9,0.8,9.8,6.4,5.1,4.2,7.8,0.9,3.3,2.8,1.7,2.4,1.2,11.5,1.9,9.3,4.6,0.7,14.0,15.1,8.7,7.1,16.0,0.6,1.0,0.7,5.0,914916.0,1264334.982976
28713,2.5,1.4,5.2,3.9,1.1,6.8,25.5,12.4,3.0,18.9,12.8,6.3,5.5,15.2,1.9,4.1,3.9,5.0,6.9,3.4,9.7,2.9,10.1,7.7,1.6,28.2,19.2,17.1,11.7,11.3,2.1,1.8,1.1,4.5,1156106.0,1468385.932236
28714,3.1,1.2,5.4,4.2,1.0,5.0,12.1,6.4,2.3,13.1,6.6,9.8,4.2,14.4,1.3,3.0,3.3,3.4,5.5,4.4,12.2,3.1,15.9,8.3,0.7,25.2,20.2,11.6,14.2,14.1,1.8,1.7,1.0,4.6,943799.0,1212943.827363
28715,2.0,2.0,4.8,4.7,0.8,6.7,17.2,6.8,3.0,12.7,9.6,10.2,6.5,10.5,1.4,3.1,2.9,1.8,3.7,3.9,8.3,3.5,12.4,9.6,1.6,16.5,15.0,14.7,9.5,12.7,0.9,1.4,1.1,5.7,1038258.0,1386272.993019
28716,1.4,1.3,3.7,4.1,0.6,4.4,15.7,4.9,2.1,12.3,6.4,8.3,4.2,5.9,1.1,2.9,1.9,1.6,2.7,4.3,6.4,2.8,10.8,7.6,1.3,12.2,13.8,11.1,6.5,9.9,1.1,0.7,0.7,4.9,949433.0,1217048.918378
28717,1.9,1.2,5.6,4.4,1.6,6.4,22.4,12.0,2.3,21.8,8.9,9.8,5.8,14.5,2.5,2.6,3.3,2.8,6.2,3.7,9.6,2.2,10.6,6.6,1.3,20.8,20.6,14.5,14.2,11.2,1.3,1.8,1.2,9.1,1096903.0,1464332.463478
28718,1.7,1.5,4.9,4.0,1.0,7.3,21.1,10.0,3.8,14.7,11.3,10.4,5.3,13.2,1.8,3.3,3.6,4.1,3.3,3.3,10.3,3.5,17.0,11.4,1.3,17.4,18.2,17.4,12.1,14.7,1.5,2.1,1.2,8.6,1112617.0,1491374.402614
28719,1.3,1.3,4.7,4.2,0.8,4.8,11.4,4.2,2.8,11.8,8.5,8.3,4.1,6.0,2.2,3.5,3.0,1.2,2.5,4.5,10.0,2.3,11.9,8.5,1.6,16.5,17.0,10.9,6.5,11.1,1.1,1.6,0.8,5.6,1018825.0,1339549.54036
28720,2.6,1.4,4.2,5.7,1.6,8.5,19.8,7.1,3.5,18.1,10.7,12.6,5.3,10.3,2.2,2.8,3.3,2.0,4.6,5.7,7.1,3.3,11.4,9.7,1.6,15.5,17.9,10.3,9.4,11.4,0.9,2.8,1.0,8.2,1317149.0,1762918.793083
28721,2.9,1.9,8.9,2.6,1.1,10.8,19.2,11.4,1.3,19.3,8.2,7.5,5.7,16.2,0.3,4.0,3.3,2.0,3.5,3.2,10.6,2.1,20.8,4.1,1.8,15.1,18.3,12.3,13.4,14.2,0.9,0.9,1.3,7.3,1110569.0,1358255.867557
28722,2.8,1.9,3.7,3.6,0.8,6.1,22.0,7.2,1.9,12.8,8.0,5.9,3.8,11.8,1.3,3.6,2.4,3.0,4.8,2.4,8.4,3.6,14.2,7.7,1.2,15.0,13.5,14.1,9.3,15.1,0.6,1.1,0.8,4.3,1054824.0,1270989.211492
28723,1.2,1.5,4.4,3.3,1.3,7.3,6.8,11.5,3.1,23.2,7.0,10.9,4.9,15.3,1.7,2.8,3.0,1.9,3.4,5.2,9.9,2.5,12.3,8.0,1.2,13.6,11.8,9.9,7.6,7.5,0.6,1.6,0.8,6.2,1168186.0,1563481.763916
28724,4.7,2.2,7.4,5.9,1.3,8.2,27.8,10.1,2.7,20.3,9.3,10.9,5.5,17.7,1.6,3.9,4.1,4.9,7.1,7.3,10.1,3.8,19.4,10.0,1.7,29.7,19.5,16.1,18.5,13.6,1.6,2.0,1.2,6.2,1039695.0,1998187.848742
28725,2.7,1.7,3.7,5.1,0.8,5.3,16.8,7.9,2.7,18.2,7.6,7.1,5.4,10.2,1.8,3.5,2.2,1.5,3.7,4.0,8.6,3.2,12.8,9.3,1.4,12.8,14.7,12.7,11.2,13.0,1.0,0.6,1.0,9.1,1224678.0,1607537.113805
28726,1.8,1.6,3.2,4.3,1.2,7.4,25.6,8.0,2.3,18.2,12.2,12.4,7.2,8.5,1.9,2.8,3.3,2.6,4.3,3.9,7.4,2.9,9.8,6.5,1.6,21.7,16.4,12.1,9.5,7.6,1.8,2.2,1.0,6.2,1284277.0,1646834.814081
28727,2.5,1.0,3.6,4.4,0.9,6.7,21.6,7.6,2.7,15.9,9.0,6.7,4.6,14.5,2.1,4.2,2.6,2.3,3.6,3.5,9.6,2.8,15.4,8.7,1.6,14.4,13.7,19.5,10.0,11.9,0.9,1.2,0.8,5.5,1129367.0,901536.68097
28728,4.5,1.2,8.3,4.2,0.9,7.2,26.9,14.7,2.9,19.7,8.1,8.1,5.5,11.6,2.3,3.6,5.4,3.1,4.6,3.8,14.5,2.3,17.7,9.8,0.9,17.9,21.7,16.8,15.5,13.0,1.5,1.2,1.6,6.5,1190741.0,1589060.132082
28729,1.8,1.8,7.9,5.6,1.1,7.2,20.1,9.4,2.3,14.5,8.3,8.3,5.7,14.5,1.7,2.7,5.3,2.5,5.4,4.8,7.8,2.4,12.9,6.7,1.1,19.7,20.1,10.1,12.0,11.3,0.9,1.9,1.0,6.6,1147380.0,1511609.978913
28730,1.8,1.4,4.0,5.6,0.6,7.6,23.6,9.7,2.5,18.8,7.6,10.0,4.8,13.1,1.3,2.7,2.6,2.2,2.9,5.3,6.8,2.6,8.8,8.2,1.4,14.5,16.5,11.2,8.0,11.4,0.9,0.9,0.9,8.2,1267702.0,1672365.000754
28731,2.3,1.4,4.4,5.2,1.1,5.7,21.3,7.9,1.9,16.6,8.9,9.2,5.0,11.9,1.5,4.1,2.9,1.5,3.1,3.8,9.3,2.4,13.9,8.4,1.7,16.1,14.1,15.3,10.9,9.7,1.4,2.0,0.7,6.8,1096863.0,1156222.270617
28732,1.4,1.8,5.3,5.0,1.3,7.6,23.4,10.8,3.6,17.4,6.3,8.6,5.7,10.1,1.0,3.2,3.4,2.3,3.6,4.4,8.5,2.9,13.3,10.8,1.6,18.9,19.7,14.8,8.6,14.4,1.0,1.8,0.9,4.9,1114653.0,1457390.638739
28733,1.7,1.1,2.9,6.0,1.5,7.0,19.1,8.2,2.4,17.1,8.5,10.3,5.1,9.9,3.7,2.4,2.5,1.5,3.1,4.7,6.6,2.3,7.7,8.1,1.0,10.2,13.8,11.3,11.0,8.4,1.2,2.5,1.1,4.7,1085977.0,1449553.722033
28741,1.6,1.2,3.6,4.1,0.7,6.0,11.8,7.9,2.7,10.9,7.1,7.9,4.6,7.4,0.9,2.6,2.0,1.9,3.0,4.4,8.5,2.3,9.7,7.0,1.0,15.0,12.9,9.1,7.0,7.1,1.0,1.4,0.7,4.3,1199503.0,1452249.087469
28742,1.0,1.2,2.6,4.0,0.7,5.2,6.3,5.2,1.6,10.4,4.5,6.3,3.0,5.3,0.9,2.2,1.9,1.5,2.3,3.5,5.7,1.8,6.9,6.6,0.8,9.7,11.1,7.0,4.9,5.3,0.7,0.5,0.7,4.9,1158439.0,1304007.288223
28743,1.1,1.3,2.4,2.7,0.5,4.6,8.3,4.2,1.0,8.6,6.3,5.4,3.1,4.6,0.6,1.8,1.7,1.2,2.7,3.0,5.3,1.7,6.7,4.9,0.8,9.8,9.0,7.0,5.2,4.7,0.8,0.8,0.5,3.1,1106072.0,1389302.893771
28744,1.1,1.0,4.2,4.0,0.5,6.5,8.6,6.2,1.8,9.8,6.8,7.5,5.1,6.1,0.9,1.9,2.0,1.7,1.2,3.6,6.6,2.2,9.3,7.3,1.4,12.3,12.9,7.2,6.3,6.8,1.1,0.9,0.6,4.0,1282591.0,1613277.32763
28745,1.3,0.9,3.3,4.4,0.5,6.7,11.4,8.1,2.1,11.6,5.5,9.3,2.6,6.7,0.9,3.1,2.0,1.7,2.8,4.5,7.6,2.3,8.2,6.9,1.2,11.6,14.3,11.0,5.3,7.6,0.9,1.4,0.7,5.1,1166317.0,1503209.271319
28746,1.2,1.8,3.1,3.6,0.6,6.4,11.5,6.2,2.0,9.7,8.8,6.5,3.9,6.7,1.0,3.2,1.5,2.1,2.6,4.1,11.2,3.1,10.1,8.0,1.1,12.1,12.0,10.4,7.1,7.6,1.1,1.3,0.8,3.4,1253796.0,1551854.856737
28747,1.8,2.1,3.2,3.7,0.8,5.7,8.7,6.4,1.6,10.7,6.6,6.6,5.2,6.5,0.7,2.4,1.9,1.9,2.8,3.4,4.9,2.0,8.1,4.6,0.8,14.3,14.7,6.5,5.8,5.4,0.8,1.3,0.6,4.6,1162533.0,1506980.277952
28748,1.2,1.3,3.0,3.9,0.7,5.7,10.0,7.3,1.7,11.2,6.0,7.9,4.0,6.3,0.7,2.9,2.1,1.4,2.5,3.7,6.4,2.3,8.5,7.0,1.6,10.9,12.9,9.7,4.9,5.8,0.7,1.0,0.6,4.5,1233231.0,1648175.017118
28749,1.1,0.8,3.8,3.8,0.6,5.0,7.1,5.7,1.5,9.3,5.5,7.1,4.0,5.0,0.6,1.8,1.6,1.5,3.0,4.1,5.5,2.1,8.9,5.4,0.9,9.9,10.1,7.5,4.5,5.8,0.7,0.7,0.5,4.6,1008060.0,1299113.348902
28750,1.1,1.7,3.7,3.5,0.6,4.8,9.6,5.4,1.3,9.4,5.6,6.1,4.1,5.8,0.8,2.8,2.1,1.6,2.8,3.2,6.8,2.7,7.9,6.9,1.9,11.9,14.4,10.5,5.9,6.4,1.2,1.2,0.7,6.0,1288831.0,1600309.603039
28751,1.1,1.5,2.8,3.7,0.7,4.2,5.7,6.4,1.4,9.3,6.6,3.8,2.5,4.7,0.6,2.7,2.1,1.4,2.2,2.6,6.7,2.4,6.6,6.3,1.1,10.6,12.3,8.3,5.0,5.4,0.9,1.0,0.7,3.6,1227388.0,1456282.691394
28752,1.9,1.4,5.4,5.4,1.5,6.3,12.2,7.8,2.1,17.2,7.8,9.9,4.7,9.5,1.0,4.8,3.6,2.3,3.9,5.1,11.4,2.7,12.6,7.3,1.0,14.3,18.1,11.3,7.0,9.2,1.2,1.6,1.1,6.2,1465956.0,1973602.755966
28753,2.1,1.3,5.1,4.5,1.0,5.9,9.9,6.5,1.6,11.1,5.9,8.1,3.6,5.2,0.8,2.7,1.9,1.9,2.7,4.3,6.6,2.8,14.6,6.1,1.4,12.5,14.4,6.7,6.0,5.2,0.9,1.4,0.6,6.3,1220487.0,1536680.611453
28754,1.2,1.2,4.3,5.3,0.9,4.6,13.1,5.8,1.8,11.4,6.1,7.6,3.5,6.6,0.8,3.3,2.6,2.3,4.4,3.8,9.9,2.5,9.0,11.2,1.6,13.3,14.2,14.2,6.7,10.0,1.3,0.9,0.5,5.3,1239204.0,1642752.440465
28755,1.1,1.0,4.2,3.6,0.7,5.0,9.2,3.7,1.5,11.5,6.2,8.8,4.0,5.5,1.1,2.5,2.0,1.5,2.1,4.0,7.2,2.2,8.5,6.1,1.2,11.8,12.7,8.7,5.7,7.0,1.1,1.5,0.6,3.9,1215231.0,1507420.933141
28756,1.9,2.1,4.9,3.9,2.1,6.7,14.6,8.2,2.1,11.1,6.2,7.1,4.4,9.1,1.3,5.7,3.5,2.5,4.8,3.9,11.3,3.0,10.9,10.7,1.9,16.8,19.5,18.9,9.0,10.7,1.0,2.4,1.1,6.6,1180597.0,1606261.527834
28757,0.9,1.0,2.3,3.2,1.2,5.9,10.3,5.2,1.5,8.3,5.7,6.6,4.4,6.3,1.0,2.2,2.4,2.2,3.2,3.5,7.5,2.3,7.3,5.6,1.3,10.3,11.7,8.7,6.0,7.0,0.9,1.4,0.7,5.5,1155117.0,1453981.023253
28758,0.9,0.8,3.6,4.8,0.7,4.8,9.3,5.4,1.6,11.2,6.2,8.4,3.0,5.5,0.9,2.3,1.8,1.8,2.4,3.9,6.0,1.5,7.0,6.3,0.8,10.1,12.7,8.0,5.7,5.5,0.9,0.8,0.6,3.0,1209205.0,1542737.657757
28759,1.2,0.7,3.8,1.9,0.8,4.9,9.4,5.7,1.0,10.2,6.7,6.6,3.9,5.5,2.0,2.4,2.3,1.7,2.3,3.0,6.4,1.5,7.6,4.6,1.1,9.2,12.9,6.7,5.4,5.1,0.6,0.7,0.6,3.4,1116453.0,1347341.994383
28760,1.4,1.2,3.2,3.7,1.5,6.1,10.1,7.8,1.4,9.7,5.2,6.0,4.0,6.2,1.1,2.8,2.1,1.5,2.2,3.4,5.8,2.2,7.8,5.9,1.4,11.4,13.1,9.5,5.6,6.5,1.4,1.3,0.5,3.4,1317958.0,1775619.251524
28761,1.3,1.4,4.2,3.2,1.4,5.6,10.8,6.7,1.7,9.4,5.6,6.3,3.8,6.8,1.2,2.9,1.9,1.9,2.6,3.0,6.5,2.3,9.6,7.1,0.7,13.7,14.0,12.8,7.1,6.7,1.6,0.6,0.8,3.8,1115641.0,1487698.469655
28762,1.3,1.5,3.8,4.4,1.0,6.2,9.5,9.2,1.8,10.5,7.0,8.1,3.9,6.0,1.1,2.2,2.5,1.8,3.0,4.0,6.9,2.5,9.3,7.8,1.8,11.4,12.4,10.0,5.1,5.9,1.5,1.5,0.7,5.7,1381043.0,1691182.96169
28763,1.2,1.2,2.4,3.3,0.6,3.9,7.5,5.6,1.1,8.2,5.6,6.5,4.0,5.1,0.8,1.9,1.9,1.6,1.9,3.0,5.1,1.9,5.4,6.7,1.0,10.4,10.1,7.1,4.4,6.5,0.5,1.0,0.4,2.9,1050174.0,1278665.608104
28764,1.5,1.5,6.2,4.2,2.2,8.5,15.2,6.9,2.8,11.4,8.6,8.6,6.1,8.8,3.0,4.5,5.5,2.5,7.8,2.8,9.1,4.0,12.6,8.9,1.0,21.3,24.0,9.9,12.7,7.9,1.5,2.8,1.2,6.1,1024884.0,1603274.143
28765,1.2,1.1,2.7,2.9,1.0,6.2,10.3,7.4,1.7,9.9,6.3,5.3,4.1,5.4,1.2,2.5,2.6,1.6,2.6,2.6,6.5,1.9,7.5,7.2,0.9,11.9,10.8,10.1,6.1,8.1,0.6,1.2,0.6,4.5,1153454.0,1512707.12276
28766,1.1,1.9,5.0,5.1,2.2,6.7,11.6,9.7,2.6,15.0,7.1,7.7,4.9,7.3,1.2,5.6,3.1,2.4,3.9,4.4,10.9,2.9,12.9,10.8,2.1,19.7,25.8,15.2,8.2,16.2,1.5,1.6,0.9,6.7,1455921.0,1897717.647114
28767,1.0,1.0,3.7,3.7,1.1,6.0,10.0,8.9,1.4,9.3,7.2,5.8,4.2,7.5,1.0,3.7,3.1,2.1,2.4,2.6,8.3,2.1,8.6,6.2,1.6,15.7,16.4,8.6,6.3,8.1,2.1,0.9,0.6,4.2,1333034.0,1581978.763331
28768,1.1,1.8,4.1,3.2,1.1,6.5,10.8,6.7,1.6,11.9,6.4,7.5,4.7,5.9,1.1,3.1,2.0,2.0,3.4,3.6,8.8,2.2,9.2,8.1,1.3,13.5,13.9,12.6,5.7,8.1,0.8,1.4,0.7,5.5,1301030.0,1674497.593927
28769,1.1,1.3,3.6,3.4,1.2,5.4,15.1,6.4,1.5,9.6,6.2,7.1,4.0,5.6,1.0,4.3,2.2,1.5,2.9,3.5,11.7,2.5,10.3,8.2,1.2,12.7,14.8,13.7,5.6,8.1,1.2,1.2,0.7,4.9,982821.0,1270527.250846
