lh.aparc.gauscurv,lh_bankssts_gauscurv,lh_caudalanteriorcingulate_gauscurv,lh_caudalmiddlefrontal_gauscurv,lh_cuneus_gauscurv,lh_entorhinal_gauscurv,lh_fusiform_gauscurv,lh_inferiorparietal_gauscurv,lh_inferiortemporal_gauscurv,lh_isthmuscingulate_gauscurv,lh_lateraloccipital_gauscurv,lh_lateralorbitofrontal_gauscurv,lh_lingual_gauscurv,lh_medialorbitofrontal_gauscurv,lh_middletemporal_gauscurv,lh_parahippocampal_gauscurv,lh_paracentral_gauscurv,lh_parsopercularis_gauscurv,lh_parsorbitalis_gauscurv,lh_parstriangularis_gauscurv,lh_pericalcarine_gauscurv,lh_postcentral_gauscurv,lh_posteriorcingulate_gauscurv,lh_precentral_gauscurv,lh_precuneus_gauscurv,lh_rostralanteriorcingulate_gauscurv,lh_rostralmiddlefrontal_gauscurv,lh_superiorfrontal_gauscurv,lh_superiorparietal_gauscurv,lh_superiortemporal_gauscurv,lh_supramarginal_gauscurv,lh_frontalpole_gauscurv,lh_temporalpole_gauscurv,lh_transversetemporal_gauscurv,lh_insula_gauscurv,BrainSegVolNotVent,eTIV
50031,0.022,0.023,0.026,0.039,0.027,0.031,0.03,0.035,0.041,0.042,0.043,0.049,0.041,0.033,0.049,0.024,0.024,0.044,0.029,0.036,0.034,0.026,0.032,0.026,0.028,0.034,0.032,0.028,0.026,0.033,0.038,0.043,0.038,0.047,1272024.0,1426483.117163
50032,0.02,0.027,0.024,0.037,0.022,0.032,0.028,0.028,0.03,0.041,0.036,0.039,0.033,0.029,0.025,0.024,0.023,0.035,0.027,0.035,0.026,0.028,0.025,0.024,0.032,0.035,0.026,0.026,0.026,0.027,0.056,0.03,0.036,0.033,1284205.0,1323468.475827
50033,0.024,0.019,0.026,0.049,0.041,0.039,0.029,0.031,0.032,0.041,0.04,0.048,0.04,0.032,0.025,0.032,0.025,0.035,0.024,0.033,0.025,0.028,0.026,0.033,0.042,0.031,0.031,0.028,0.024,0.029,0.05,0.032,0.041,0.044,1207268.0,1291299.506989
50034,0.015,0.018,0.023,0.041,0.033,0.027,0.028,0.028,0.029,0.038,0.03,0.035,0.039,0.024,0.021,0.022,0.02,0.025,0.023,0.038,0.025,0.025,0.023,0.026,0.035,0.027,0.026,0.025,0.018,0.025,0.036,0.042,0.029,0.04,1222079.0,1342466.211523
50035,0.018,0.023,0.019,0.032,0.036,0.025,0.027,0.031,0.027,0.033,0.036,0.032,0.041,0.026,0.019,0.023,0.03,0.039,0.021,0.033,0.023,0.023,0.023,0.023,0.029,0.034,0.027,0.023,0.021,0.027,0.046,0.039,0.043,0.037,1227986.0,1272293.900367
50036,0.02,0.021,0.028,0.045,0.042,0.035,0.032,0.035,0.031,0.038,0.039,0.047,0.045,0.031,0.034,0.025,0.038,0.043,0.038,0.042,0.034,0.023,0.03,0.03,0.043,0.039,0.033,0.036,0.028,0.036,0.072,0.045,0.043,0.037,1171842.0,1294909.179202
50037,0.019,0.015,0.022,0.043,0.029,0.032,0.027,0.028,0.023,0.042,0.033,0.041,0.033,0.029,0.021,0.021,0.02,0.038,0.023,0.037,0.025,0.028,0.024,0.028,0.023,0.03,0.027,0.026,0.023,0.029,0.047,0.033,0.027,0.029,1234693.0,1291250.429757
50038,0.019,0.017,0.024,0.047,0.028,0.033,0.028,0.032,0.029,0.042,0.039,0.043,0.04,0.029,0.022,0.021,0.021,0.04,0.023,0.045,0.025,0.024,0.025,0.029,0.033,0.038,0.027,0.024,0.02,0.028,0.049,0.029,0.027,0.037,1103888.0,1090922.911511
50039,0.024,0.028,0.028,0.039,0.03,0.031,0.03,0.034,0.034,0.041,0.033,0.042,0.043,0.031,0.019,0.026,0.028,0.038,0.028,0.04,0.028,0.021,0.027,0.029,0.028,0.036,0.029,0.029,0.023,0.032,0.054,0.035,0.026,0.031,1205799.0,1475934.856553
50040,0.016,0.016,0.022,0.033,0.029,0.029,0.023,0.027,0.023,0.032,0.028,0.036,0.027,0.022,0.018,0.022,0.02,0.027,0.022,0.034,0.024,0.024,0.025,0.026,0.038,0.029,0.023,0.025,0.023,0.027,0.03,0.04,0.033,0.029,1185658.0,1165558.865974
50041,0.02,0.024,0.019,0.034,0.053,0.033,0.026,0.034,0.024,0.038,0.029,0.032,0.026,0.025,0.022,0.023,0.024,0.037,0.022,0.028,0.022,0.028,0.023,0.025,0.029,0.03,0.026,0.023,0.022,0.024,0.034,0.04,0.04,0.037,1228514.0,1304303.180035
50042,0.019,0.022,0.023,0.034,0.038,0.039,0.027,0.031,0.033,0.041,0.048,0.037,0.043,0.027,0.035,0.021,0.023,0.034,0.021,0.044,0.026,0.031,0.024,0.027,0.033,0.032,0.026,0.025,0.023,0.025,0.052,0.049,0.03,0.034,1141581.0,1244253.141275
50043,0.021,0.024,0.021,0.039,0.029,0.034,0.024,0.024,0.033,0.041,0.031,0.04,0.04,0.027,0.029,0.025,0.025,0.035,0.022,0.039,0.024,0.025,0.022,0.022,0.029,0.027,0.028,0.024,0.019,0.024,0.04,0.044,0.044,0.044,1217159.0,1466369.225368
50044,0.014,0.025,0.018,0.037,0.025,0.026,0.026,0.031,0.027,0.036,0.029,0.037,0.038,0.032,0.025,0.017,0.027,0.035,0.032,0.037,0.023,0.026,0.023,0.023,0.028,0.032,0.025,0.024,0.028,0.025,0.047,0.033,0.057,0.032,1296990.0,1376479.486895
50045,0.017,0.023,0.026,0.034,0.022,0.031,0.028,0.03,0.025,0.036,0.035,0.043,0.037,0.028,0.019,0.024,0.021,0.033,0.024,0.044,0.029,0.021,0.026,0.023,0.037,0.032,0.027,0.025,0.024,0.025,0.044,0.043,0.06,0.039,1440349.0,1683419.16261
50046,0.021,0.012,0.025,0.038,0.031,0.032,0.033,0.037,0.034,0.043,0.034,0.036,0.045,0.03,0.019,0.022,0.025,0.041,0.03,0.033,0.028,0.033,0.027,0.029,0.032,0.033,0.027,0.028,0.025,0.028,0.059,0.046,0.047,0.034,1065680.0,1261884.590074
50047,0.019,0.019,0.023,0.037,0.023,0.027,0.026,0.026,0.023,0.034,0.032,0.037,0.036,0.023,0.021,0.02,0.018,0.034,0.024,0.039,0.029,0.029,0.024,0.027,0.041,0.036,0.027,0.026,0.018,0.028,0.05,0.035,0.032,0.037,1351136.0,1477290.834524
50048,0.017,0.02,0.025,0.041,0.039,0.029,0.028,0.036,0.024,0.038,0.041,0.042,0.039,0.031,0.025,0.018,0.023,0.047,0.026,0.037,0.027,0.021,0.024,0.025,0.042,0.034,0.027,0.026,0.022,0.03,0.047,0.051,0.042,0.033,1122232.0,1133515.662719
50049,0.013,0.016,0.025,0.034,0.025,0.027,0.025,0.025,0.027,0.035,0.031,0.035,0.051,0.021,0.032,0.021,0.021,0.039,0.02,0.033,0.023,0.023,0.022,0.021,0.028,0.033,0.027,0.023,0.019,0.021,0.053,0.037,0.036,0.029,1065470.0,1257933.147651
50050,0.019,0.013,0.022,0.043,0.022,0.026,0.027,0.027,0.028,0.038,0.028,0.04,0.026,0.028,0.021,0.02,0.02,0.031,0.025,0.035,0.022,0.023,0.021,0.025,0.031,0.03,0.023,0.022,0.023,0.023,0.044,0.041,0.033,0.042,1429952.0,1395431.915138
50051,0.015,0.021,0.022,0.036,0.015,0.029,0.027,0.029,0.029,0.035,0.034,0.034,0.04,0.032,0.018,0.02,0.022,0.037,0.021,0.034,0.025,0.026,0.022,0.026,0.032,0.029,0.026,0.024,0.02,0.023,0.043,0.035,0.04,0.041,1379226.0,1521016.402773
50052,0.018,0.019,0.022,0.038,0.024,0.029,0.024,0.034,0.029,0.044,0.041,0.036,0.032,0.029,0.014,0.02,0.026,0.047,0.022,0.033,0.021,0.021,0.021,0.027,0.032,0.034,0.027,0.025,0.021,0.028,0.039,0.053,0.041,0.032,1087673.0,1358576.55471
50053,0.015,0.019,0.032,0.037,0.034,0.03,0.03,0.036,0.032,0.042,0.048,0.045,0.051,0.034,0.056,0.025,0.031,0.043,0.037,0.033,0.031,0.031,0.033,0.029,0.067,0.041,0.034,0.03,0.038,0.036,0.06,0.047,0.056,0.043,1014583.0,1241623.062427
50054,0.013,0.024,0.026,0.047,0.039,0.03,0.028,0.035,0.029,0.039,0.029,0.042,0.036,0.031,0.032,0.024,0.026,0.043,0.026,0.038,0.027,0.029,0.024,0.029,0.04,0.034,0.029,0.032,0.024,0.033,0.061,0.029,0.042,0.027,1199927.0,1405650.279592
50055,0.028,0.022,0.025,0.04,0.022,0.035,0.028,0.038,0.04,0.043,0.036,0.041,0.036,0.029,0.033,0.026,0.023,0.036,0.027,0.035,0.026,0.028,0.026,0.027,0.047,0.03,0.025,0.026,0.026,0.024,0.033,0.034,0.034,0.036,1100702.0,1125620.005913
50056,0.018,0.016,0.024,0.044,0.042,0.032,0.028,0.032,0.026,0.041,0.037,0.043,0.036,0.033,0.027,0.023,0.026,0.044,0.024,0.041,0.023,0.021,0.023,0.025,0.028,0.033,0.03,0.026,0.023,0.027,0.07,0.03,0.045,0.041,1079772.0,1347519.419586
50057,0.022,0.015,0.023,0.035,0.021,0.036,0.027,0.034,0.028,0.034,0.032,0.041,0.045,0.027,0.042,0.022,0.025,0.036,0.023,0.05,0.023,0.023,0.022,0.025,0.031,0.032,0.027,0.025,0.017,0.025,0.05,0.043,0.032,0.043,1038631.0,1190379.324627
50058,0.014,0.016,0.02,0.041,0.022,0.034,0.027,0.035,0.03,0.038,0.043,0.041,0.045,0.027,0.021,0.029,0.026,0.036,0.023,0.032,0.028,0.031,0.025,0.026,0.037,0.032,0.026,0.024,0.019,0.025,0.044,0.038,0.038,0.037,1234976.0,1360092.833155
50059,0.02,0.021,0.021,0.033,0.041,0.033,0.03,0.035,0.042,0.038,0.029,0.034,0.037,0.03,0.029,0.03,0.023,0.035,0.028,0.037,0.024,0.031,0.026,0.029,0.052,0.03,0.025,0.023,0.027,0.027,0.055,0.033,0.05,0.037,1251668.0,1592462.463708
50060,0.021,0.02,0.023,0.037,0.023,0.031,0.027,0.027,0.026,0.035,0.026,0.038,0.039,0.029,0.017,0.022,0.022,0.033,0.029,0.034,0.022,0.027,0.023,0.028,0.039,0.029,0.025,0.022,0.021,0.025,0.034,0.029,0.03,0.031,1400083.0,1415748.781458
50102,0.026,0.027,0.039,0.049,0.047,0.04,0.04,0.042,0.043,0.045,0.046,0.046,0.05,0.05,0.034,0.034,0.033,0.048,0.038,0.041,0.037,0.04,0.036,0.036,0.039,0.057,0.044,0.04,0.036,0.064,0.064,0.058,0.056,0.041,1215245.0,1521734.208342
50103,0.023,0.023,0.033,0.04,0.037,0.035,0.034,0.04,0.031,0.044,0.038,0.04,0.045,0.04,0.024,0.031,0.034,0.047,0.034,0.037,0.03,0.03,0.032,0.03,0.047,0.041,0.035,0.031,0.041,0.034,0.068,0.071,0.056,0.037,1213391.0,1549231.307073
50104,0.02,0.015,0.023,0.041,0.023,0.024,0.025,0.026,0.023,0.032,0.028,0.029,0.029,0.023,0.011,0.021,0.02,0.031,0.024,0.028,0.023,0.023,0.023,0.025,0.026,0.03,0.024,0.025,0.024,0.028,0.039,0.039,0.037,0.035,1427080.0,1829971.449092
50105,0.022,0.021,0.029,0.043,0.033,0.03,0.03,0.035,0.033,0.04,0.038,0.036,0.034,0.032,0.016,0.033,0.026,0.035,0.034,0.04,0.031,0.029,0.031,0.025,0.032,0.035,0.031,0.029,0.027,0.029,0.041,0.044,0.038,0.035,1189613.0,1527471.723692
50106,0.023,0.025,0.026,0.033,0.052,0.033,0.032,0.03,0.03,0.041,0.032,0.036,0.039,0.033,0.038,0.025,0.028,0.037,0.032,0.028,0.027,0.026,0.026,0.029,0.027,0.033,0.028,0.026,0.031,0.027,0.042,0.051,0.051,0.029,1148137.0,1424967.730622
50107,0.021,0.031,0.025,0.041,0.023,0.026,0.028,0.029,0.028,0.038,0.032,0.032,0.033,0.034,0.019,0.029,0.033,0.032,0.028,0.033,0.027,0.032,0.029,0.029,0.04,0.034,0.03,0.029,0.029,0.029,0.057,0.047,0.033,0.04,1353774.0,1737604.690908
50108,0.026,0.027,0.031,0.042,0.043,0.03,0.03,0.035,0.036,0.041,0.037,0.039,0.046,0.035,0.027,0.026,0.031,0.047,0.029,0.035,0.03,0.03,0.03,0.031,0.046,0.039,0.033,0.031,0.032,0.03,0.074,0.058,0.057,0.037,1215796.0,1595925.839712
50109,0.026,0.027,0.026,0.044,0.047,0.042,0.037,0.046,0.04,0.046,0.039,0.043,0.04,0.037,0.024,0.039,0.031,0.037,0.029,0.045,0.037,0.033,0.034,0.038,0.037,0.037,0.033,0.034,0.034,0.042,0.059,0.048,0.043,0.042,1133839.0,1402078.350644
50110,0.028,0.02,0.049,0.067,0.043,0.041,0.053,0.047,0.035,0.067,0.054,0.048,0.073,0.045,0.025,0.049,0.038,0.069,0.048,0.05,0.053,0.034,0.047,0.044,0.054,0.057,0.054,0.058,0.038,0.048,0.078,0.079,0.046,0.052,1053286.0,1571178.281151
50111,0.021,0.033,0.026,0.036,0.031,0.031,0.026,0.029,0.027,0.041,0.036,0.036,0.03,0.031,0.025,0.025,0.021,0.029,0.026,0.032,0.026,0.031,0.026,0.029,0.032,0.033,0.032,0.03,0.026,0.027,0.051,0.037,0.035,0.041,1253466.0,1504193.587343
50112,0.019,0.02,0.036,0.043,0.029,0.029,0.035,0.029,0.027,0.045,0.031,0.04,0.044,0.031,0.023,0.036,0.032,0.036,0.032,0.038,0.032,0.031,0.036,0.029,0.035,0.036,0.036,0.032,0.029,0.031,0.053,0.037,0.048,0.035,1178621.0,1513358.802141
50113,0.021,0.026,0.024,0.039,0.029,0.031,0.029,0.039,0.028,0.036,0.031,0.033,0.035,0.027,0.017,0.025,0.025,0.041,0.024,0.035,0.026,0.023,0.027,0.023,0.036,0.036,0.029,0.027,0.027,0.025,0.051,0.05,0.032,0.036,1118471.0,1391575.286078
50114,0.023,0.026,0.03,0.037,0.029,0.033,0.031,0.033,0.032,0.038,0.041,0.039,0.04,0.03,0.02,0.026,0.028,0.042,0.038,0.039,0.031,0.032,0.029,0.03,0.044,0.039,0.038,0.03,0.025,0.029,0.061,0.036,0.038,0.037,1185453.0,1485368.463258
50115,0.022,0.02,0.028,0.04,0.028,0.035,0.033,0.032,0.033,0.053,0.037,0.04,0.037,0.033,0.022,0.022,0.023,0.027,0.025,0.032,0.03,0.033,0.028,0.029,0.04,0.036,0.03,0.034,0.027,0.03,0.06,0.047,0.042,0.034,1073935.0,1323748.49629
50116,0.019,0.025,0.026,0.033,0.037,0.03,0.026,0.03,0.028,0.035,0.03,0.04,0.033,0.036,0.028,0.023,0.023,0.034,0.022,0.039,0.023,0.027,0.026,0.026,0.037,0.031,0.029,0.027,0.025,0.026,0.045,0.04,0.045,0.035,1318387.0,1609986.191237
50117,0.024,0.029,0.024,0.04,0.028,0.031,0.029,0.032,0.036,0.039,0.038,0.039,0.041,0.035,0.018,0.029,0.028,0.041,0.025,0.036,0.03,0.029,0.027,0.032,0.033,0.038,0.032,0.026,0.028,0.03,0.056,0.042,0.049,0.034,1255479.0,1626155.735235
50118,0.015,0.021,0.027,0.038,0.036,0.032,0.028,0.036,0.029,0.042,0.038,0.037,0.042,0.033,0.024,0.031,0.024,0.038,0.036,0.042,0.029,0.025,0.03,0.029,0.031,0.033,0.029,0.029,0.031,0.032,0.056,0.055,0.031,0.039,1280301.0,1720259.501272
50119,0.015,0.022,0.02,0.038,0.024,0.029,0.026,0.029,0.034,0.032,0.027,0.034,0.034,0.031,0.029,0.027,0.025,0.029,0.025,0.038,0.026,0.023,0.027,0.023,0.03,0.029,0.027,0.024,0.027,0.025,0.049,0.045,0.037,0.038,1181909.0,1328281.916188
50120,0.023,0.02,0.031,0.046,0.04,0.037,0.038,0.041,0.032,0.044,0.042,0.043,0.048,0.032,0.037,0.035,0.03,0.062,0.032,0.039,0.031,0.026,0.033,0.035,0.044,0.044,0.04,0.039,0.035,0.035,0.073,0.089,0.046,0.04,1095656.0,1431080.63347
50121,0.016,0.022,0.028,0.032,0.024,0.027,0.024,0.031,0.028,0.034,0.027,0.031,0.027,0.033,0.012,0.021,0.022,0.034,0.028,0.031,0.029,0.025,0.03,0.026,0.023,0.029,0.035,0.025,0.024,0.028,0.031,0.055,0.04,0.031,1411948.0,1799787.682363
50122,0.024,0.027,0.03,0.057,0.05,0.037,0.039,0.043,0.031,0.054,0.054,0.044,0.052,0.044,0.031,0.028,0.035,0.05,0.052,0.032,0.03,0.029,0.036,0.036,0.046,0.046,0.035,0.036,0.035,0.04,0.09,0.074,0.055,0.042,1080331.0,1421128.119168
50123,0.019,0.018,0.026,0.043,0.033,0.035,0.03,0.035,0.032,0.046,0.038,0.036,0.04,0.032,0.032,0.024,0.027,0.039,0.028,0.035,0.029,0.025,0.03,0.03,0.044,0.037,0.032,0.031,0.029,0.03,0.061,0.047,0.037,0.032,1247174.0,1608582.729179
50124,0.024,0.021,0.024,0.035,0.028,0.033,0.027,0.033,0.026,0.038,0.034,0.036,0.035,0.033,0.02,0.023,0.026,0.04,0.03,0.035,0.028,0.028,0.03,0.026,0.031,0.03,0.031,0.026,0.028,0.028,0.05,0.049,0.054,0.043,1142663.0,1405970.756662
50125,0.023,0.026,0.024,0.033,0.047,0.031,0.025,0.034,0.025,0.036,0.033,0.038,0.039,0.033,0.035,0.023,0.023,0.037,0.029,0.03,0.025,0.027,0.032,0.027,0.031,0.036,0.03,0.026,0.027,0.028,0.054,0.05,0.059,0.036,1105456.0,1433132.955656
50126,0.027,0.042,0.036,0.042,0.064,0.037,0.033,0.044,0.033,0.042,0.048,0.038,0.057,0.042,0.032,0.033,0.037,0.065,0.036,0.036,0.039,0.035,0.038,0.034,0.054,0.055,0.041,0.036,0.035,0.035,0.085,0.103,0.045,0.047,1061022.0,1462128.912805
50127,0.015,0.022,0.024,0.041,0.033,0.032,0.027,0.032,0.031,0.039,0.031,0.041,0.035,0.027,0.028,0.025,0.027,0.038,0.024,0.033,0.025,0.023,0.026,0.029,0.032,0.03,0.029,0.028,0.029,0.032,0.05,0.059,0.052,0.042,1120481.0,1345448.558783
50128,0.02,0.018,0.026,0.042,0.025,0.031,0.027,0.038,0.029,0.04,0.037,0.034,0.035,0.027,0.024,0.027,0.025,0.029,0.02,0.032,0.029,0.031,0.031,0.027,0.032,0.036,0.032,0.029,0.028,0.028,0.063,0.051,0.046,0.031,1225991.0,1482881.833708
