rh.aparc.curvind,rh_bankssts_curvind,rh_caudalanteriorcingulate_curvind,rh_caudalmiddlefrontal_curvind,rh_cuneus_curvind,rh_entorhinal_curvind,rh_fusiform_curvind,rh_inferiorparietal_curvind,rh_inferiortemporal_curvind,rh_isthmuscingulate_curvind,rh_lateraloccipital_curvind,rh_lateralorbitofrontal_curvind,rh_lingual_curvind,rh_medialorbitofrontal_curvind,rh_middletemporal_curvind,rh_parahippocampal_curvind,rh_paracentral_curvind,rh_parsopercularis_curvind,rh_parsorbitalis_curvind,rh_parstriangularis_curvind,rh_pericalcarine_curvind,rh_postcentral_curvind,rh_posteriorcingulate_curvind,rh_precentral_curvind,rh_precuneus_curvind,rh_rostralanteriorcingulate_curvind,rh_rostralmiddlefrontal_curvind,rh_superiorfrontal_curvind,rh_superiorparietal_curvind,rh_superiortemporal_curvind,rh_supramarginal_curvind,rh_frontalpole_curvind,rh_temporalpole_curvind,rh_transversetemporal_curvind,rh_insula_curvind,BrainSegVolNotVent,eTIV
50046,1.5,0.9,2.4,3.8,0.8,5.9,8.6,6.4,1.7,9.1,7.1,4.6,5.5,5.4,0.6,2.2,2.2,1.8,2.4,2.3,5.5,2.0,7.2,6.1,0.7,12.0,10.6,8.4,4.5,6.4,0.9,1.0,0.8,4.7,1065680.0,1261884.590074
50047,1.8,1.8,3.2,3.7,0.8,5.9,9.8,6.7,1.4,11.2,7.5,8.4,4.7,5.8,0.7,2.5,2.0,1.6,3.2,3.8,7.1,2.5,7.7,6.9,0.7,11.2,13.4,7.7,4.8,5.5,0.7,1.6,0.5,3.9,1351136.0,1477290.834524
50048,0.9,0.9,2.8,4.0,0.9,4.2,7.9,5.4,1.2,7.9,6.9,6.4,3.7,5.1,0.9,1.7,1.8,1.6,2.2,3.7,6.2,1.8,7.2,6.9,1.1,10.2,10.6,8.0,4.4,5.4,1.0,0.7,0.6,4.5,1122232.0,1133515.662719
50049,0.7,1.0,2.8,3.1,0.5,4.7,5.2,4.1,1.0,8.8,4.7,6.9,4.7,3.8,1.1,2.5,1.6,1.4,1.9,3.1,4.5,1.9,6.8,5.7,0.9,10.7,11.4,7.0,4.2,7.0,1.2,0.9,2.0,3.3,1065470.0,1257933.147651
50050,0.7,0.8,4.3,3.0,0.3,5.2,7.8,5.2,1.6,10.2,6.0,9.3,5.2,5.2,0.6,2.7,2.0,1.8,3.4,4.6,7.7,2.4,8.7,7.4,1.3,12.8,14.2,9.5,5.3,6.0,1.4,1.0,0.9,4.4,1429952.0,1395431.915138
50051,1.0,1.4,4.1,3.1,0.3,7.6,8.0,6.1,1.7,11.5,5.6,6.9,5.3,6.8,0.7,2.2,2.7,2.0,2.6,2.5,6.6,2.5,7.9,7.3,1.5,12.4,12.4,7.6,6.7,8.3,1.0,1.3,1.4,5.6,1379226.0,1521016.402773
50052,1.4,1.4,3.7,3.1,0.5,3.6,7.9,5.7,1.4,8.0,5.3,4.8,4.1,5.8,1.4,1.7,2.6,2.0,2.0,1.9,6.0,2.4,6.6,6.2,1.2,11.2,11.3,6.8,4.8,6.1,0.8,1.4,1.2,6.3,1087673.0,1358576.55471
50053,1.2,1.6,3.2,3.4,0.8,6.9,8.3,5.6,1.8,12.5,9.2,8.0,4.2,7.0,1.4,2.2,2.0,1.9,3.5,3.8,6.8,1.7,8.7,5.1,1.4,12.3,12.0,8.7,6.9,8.5,0.9,0.8,1.7,7.0,1014583.0,1241623.062427
50054,1.2,1.2,3.4,3.7,1.1,4.3,10.6,6.2,1.7,11.4,5.0,7.4,5.3,5.3,1.1,2.3,2.4,2.0,2.5,3.1,6.1,2.4,6.6,6.7,1.1,14.0,12.5,8.8,4.4,5.5,1.2,1.2,0.6,4.1,1199927.0,1405650.279592
50055,0.9,0.7,2.0,3.2,0.7,6.6,8.1,6.9,1.3,11.3,5.6,7.0,3.6,5.3,1.2,2.3,1.5,2.1,2.1,2.3,5.5,1.8,7.0,6.7,1.2,11.7,12.8,7.5,5.3,5.0,1.0,1.1,0.8,5.5,1100702.0,1125620.005913
50056,1.4,0.9,1.7,3.5,0.4,3.7,10.4,6.0,1.2,12.4,5.5,8.6,4.2,6.7,0.6,2.0,2.0,1.8,2.6,3.7,5.8,2.2,6.2,5.8,1.0,9.7,12.5,8.7,4.3,6.0,0.9,1.3,0.6,3.5,1079772.0,1347519.419586
50057,0.9,1.8,2.1,3.4,0.5,5.5,7.9,5.8,1.3,10.5,7.0,8.3,4.2,5.8,0.9,2.3,2.4,1.6,2.9,3.3,5.5,2.5,5.1,6.5,1.4,11.0,9.5,8.7,3.9,6.0,1.2,1.0,0.6,3.8,1038631.0,1190379.324627
50058,1.0,1.1,3.8,3.7,0.5,5.2,8.1,5.6,2.1,11.1,7.0,7.9,4.6,6.5,0.7,3.1,1.8,1.5,2.1,3.1,8.0,2.8,8.2,7.1,1.6,10.2,14.3,8.8,4.9,6.4,1.0,1.2,0.6,4.7,1234976.0,1360092.833155
50059,1.4,1.3,4.0,3.8,0.6,6.3,6.9,6.8,2.1,10.2,7.6,7.6,6.2,5.5,1.0,3.4,2.4,1.7,1.9,2.9,7.3,3.2,10.6,10.6,0.9,9.3,12.4,10.0,6.1,7.9,0.9,1.1,3.0,4.8,1251668.0,1592462.463708
50060,1.2,1.4,3.3,3.3,0.5,6.2,10.9,7.6,2.1,14.0,6.8,8.4,6.7,6.1,1.4,3.2,1.7,1.7,2.0,4.6,7.2,2.9,8.3,7.1,1.5,11.4,13.5,9.8,4.6,4.9,0.8,0.9,0.6,4.4,1400083.0,1415748.781458
50102,1.1,1.2,3.5,5.3,1.3,6.5,10.1,7.2,2.5,12.7,8.8,9.9,5.2,5.8,0.9,3.4,3.3,2.4,3.4,4.1,8.8,2.8,10.3,9.6,1.1,12.5,14.4,14.1,7.4,8.2,1.0,2.1,0.8,5.1,1215245.0,1521734.208342
50103,1.6,0.9,3.2,4.2,0.8,6.6,11.4,5.5,2.2,12.0,7.8,8.2,5.2,7.0,0.7,2.9,2.7,3.3,3.2,3.8,6.8,2.6,9.8,8.5,0.9,12.0,13.2,10.8,8.9,7.5,0.8,1.4,0.6,4.6,1213391.0,1549231.307073
50104,1.2,1.3,2.9,3.8,0.7,3.8,9.5,5.1,2.4,9.4,5.8,6.7,3.9,5.7,0.8,2.2,2.1,2.6,2.9,3.6,5.9,2.3,6.6,7.1,1.1,12.3,11.1,8.1,6.9,5.4,0.7,1.8,0.4,5.3,1427080.0,1829971.449092
50105,1.2,1.1,2.5,4.1,0.6,4.8,8.4,6.1,1.6,9.7,6.5,7.4,4.7,5.9,0.6,2.6,2.2,1.5,2.8,3.9,6.4,2.6,7.9,7.6,1.3,9.1,13.1,10.4,5.9,6.3,0.8,1.1,0.9,4.2,1189613.0,1527471.723692
50106,1.0,1.2,2.9,3.7,0.7,4.5,8.7,4.5,1.7,11.7,7.3,7.6,3.7,4.8,1.6,2.2,1.4,1.4,2.4,3.6,5.4,2.0,8.0,7.8,1.7,10.9,12.9,10.9,6.4,5.3,1.0,2.0,2.2,4.1,1148137.0,1424967.730622
50107,1.4,1.2,4.5,5.3,0.6,5.2,15.1,6.6,1.8,14.6,8.0,7.2,5.8,6.8,0.9,3.2,2.1,2.5,3.9,4.3,7.2,2.3,9.8,8.2,1.2,14.9,14.7,11.7,6.7,8.1,1.2,1.3,0.6,5.9,1353774.0,1737604.690908
50108,1.3,1.1,3.2,4.9,0.8,6.8,11.7,5.3,1.9,13.3,6.9,10.8,7.7,6.5,1.1,3.0,2.4,1.8,2.2,5.4,6.8,3.0,9.7,6.6,1.2,14.6,14.7,10.1,7.0,7.3,1.3,1.5,0.8,5.6,1215796.0,1595925.839712
50109,1.4,1.1,4.0,4.3,1.1,6.9,10.2,8.4,2.3,11.6,7.9,7.7,4.6,8.1,0.7,4.4,2.0,1.6,2.5,2.7,8.4,2.8,10.7,10.0,1.7,11.3,15.2,12.4,8.4,9.5,1.3,1.7,0.9,6.3,1133839.0,1402078.350644
50110,2.0,1.6,3.9,4.6,1.3,4.0,14.9,6.5,1.9,13.4,7.0,7.2,7.6,6.6,0.9,4.5,2.3,2.3,3.1,4.8,9.3,2.2,10.2,9.0,2.2,11.8,18.1,13.3,7.5,8.0,1.4,1.5,0.9,6.9,1053286.0,1571178.281151
50111,1.3,0.9,3.2,3.3,0.5,4.8,8.2,6.3,1.8,10.2,6.8,8.3,3.7,6.0,0.8,2.2,1.6,1.8,3.2,3.4,6.4,2.0,7.6,7.9,0.6,11.2,11.2,9.8,5.3,7.0,0.7,1.4,0.8,5.7,1253466.0,1504193.587343
50112,0.9,1.3,3.6,4.0,0.8,4.4,8.3,4.2,1.6,11.0,7.0,6.9,4.1,5.3,0.7,3.2,2.4,2.4,3.1,4.3,6.3,2.1,7.9,7.9,1.4,11.2,11.6,9.6,5.7,6.5,1.0,1.1,0.8,4.6,1178621.0,1513358.802141
50113,0.6,0.9,3.0,4.0,0.5,5.0,7.1,5.0,1.4,10.7,5.5,7.6,3.5,4.8,0.5,2.2,1.3,1.6,2.1,4.1,4.5,2.0,6.1,5.8,0.8,10.0,12.3,7.2,4.3,5.4,0.9,1.4,0.4,2.9,1118471.0,1391575.286078
50114,1.4,1.2,3.2,4.4,0.8,8.4,8.7,6.4,1.7,11.1,8.1,9.1,5.8,6.9,0.9,4.1,2.0,1.7,2.2,3.6,7.6,2.0,9.1,7.8,1.6,12.6,15.0,9.5,6.1,6.9,1.4,1.6,1.0,3.9,1185453.0,1485368.463258
50115,1.1,0.9,2.7,3.5,1.0,4.7,10.5,5.7,1.4,8.4,5.4,6.9,3.9,5.4,0.8,2.1,1.7,1.0,2.5,3.2,5.7,2.1,7.0,6.9,0.9,10.9,10.7,9.2,6.0,6.6,0.8,0.7,0.5,4.0,1073935.0,1323748.49629
50116,0.9,0.9,3.4,4.3,0.4,5.4,10.6,6.2,1.5,12.5,6.0,7.8,4.3,6.0,0.9,2.7,1.3,2.1,1.8,4.1,7.0,2.0,8.8,7.3,1.2,9.4,12.4,9.7,7.6,4.8,1.0,1.3,1.0,3.8,1318387.0,1609986.191237
50117,1.3,0.9,2.0,3.9,1.0,6.2,8.9,6.8,1.9,8.6,7.2,8.3,5.5,6.5,0.8,2.6,1.6,2.4,3.0,3.0,6.3,2.3,9.3,7.1,0.9,10.6,13.6,9.8,6.2,7.7,0.9,1.1,0.8,4.2,1255479.0,1626155.735235
50118,1.4,1.0,5.6,3.6,1.0,4.7,8.8,5.7,2.5,13.4,7.4,7.5,6.7,6.7,1.3,3.2,2.2,1.7,2.2,2.8,6.0,1.9,9.3,7.2,1.0,15.5,15.6,8.8,7.2,6.4,0.6,1.6,0.5,4.6,1280301.0,1720259.501272
50119,0.9,0.9,2.2,3.8,0.4,3.9,8.1,4.9,1.3,8.4,6.3,7.8,4.7,5.3,1.2,2.4,1.5,1.5,2.1,4.1,5.7,1.8,7.2,5.4,1.2,8.9,11.0,8.1,4.5,6.3,0.8,1.1,1.1,4.1,1181909.0,1328281.916188
50120,0.8,1.9,3.7,5.0,0.5,5.7,11.4,7.4,1.9,14.8,8.4,8.9,4.5,6.1,0.5,2.7,2.8,2.7,3.2,4.2,8.0,2.6,8.5,7.7,1.8,11.5,13.1,12.2,5.7,5.7,1.8,1.4,0.8,4.0,1095656.0,1431080.63347
50121,1.2,0.8,3.9,3.6,1.0,4.3,7.2,5.4,2.3,9.4,6.0,7.0,4.8,5.6,0.6,2.6,2.4,1.9,2.1,2.7,7.1,2.6,9.6,7.4,1.7,10.5,16.1,9.5,6.2,6.7,0.9,1.2,0.7,5.0,1411948.0,1799787.682363
50122,0.8,1.1,4.2,5.0,1.2,5.1,10.3,7.4,1.8,11.7,8.5,5.9,6.0,6.5,0.9,2.3,3.1,1.7,2.8,3.9,7.1,2.3,9.5,10.0,1.5,12.5,14.2,15.0,6.0,6.8,1.5,3.2,1.1,5.5,1080331.0,1421128.119168
50123,1.2,0.8,3.8,3.5,0.9,6.4,11.0,6.2,1.8,13.0,6.3,6.8,5.6,6.1,1.3,3.6,1.9,2.6,3.2,3.0,7.2,2.1,8.1,9.1,1.0,12.6,16.5,10.9,5.9,8.2,1.0,1.0,0.4,5.3,1247174.0,1608582.729179
50124,1.0,0.8,2.8,3.6,1.0,4.2,8.5,3.4,1.2,8.4,5.8,6.8,4.0,5.7,0.7,2.3,2.6,1.7,2.4,3.1,5.4,1.8,9.2,6.3,0.8,10.0,12.9,8.9,4.7,5.3,0.6,1.4,0.3,5.2,1142663.0,1405970.756662
50125,1.4,1.2,2.9,2.9,0.6,5.3,9.1,6.6,1.5,12.0,5.8,7.0,4.3,5.7,1.0,3.5,1.6,1.7,2.4,3.0,6.2,2.6,8.6,6.9,1.3,10.6,11.6,8.4,6.2,6.1,0.8,1.0,1.0,4.0,1105456.0,1433132.955656
50126,1.1,1.3,4.2,3.8,1.1,6.7,9.5,7.7,1.9,13.2,4.4,5.2,4.1,6.8,0.8,4.5,4.1,2.0,3.0,2.3,7.1,3.1,11.1,7.4,1.1,12.3,15.1,10.9,7.6,7.0,1.6,1.7,0.8,4.9,1061022.0,1462128.912805
50127,0.6,1.5,2.9,3.6,0.6,4.7,6.4,4.7,1.7,10.8,5.7,7.6,4.0,5.9,1.2,2.2,2.0,1.7,2.8,4.1,6.4,1.6,6.7,6.1,1.6,10.2,11.2,7.8,6.1,5.1,1.4,1.1,1.0,5.0,1120481.0,1345448.558783
50128,0.8,1.7,3.1,4.3,0.6,5.4,9.5,6.5,1.3,10.8,7.2,7.8,4.3,6.4,0.8,2.6,2.1,1.5,2.2,3.7,5.9,1.9,6.4,7.9,1.2,11.8,11.3,12.1,5.8,6.8,1.1,2.2,0.6,3.9,1225991.0,1482881.833708
50129,1.4,1.2,1.9,2.1,1.2,5.2,11.8,6.7,1.7,8.8,6.9,5.5,5.5,7.3,0.9,3.3,2.3,2.0,3.3,1.3,5.2,2.4,8.8,9.1,1.2,13.3,12.6,10.4,8.0,4.6,1.3,1.3,0.8,4.6,965365.0,1179135.362402
